Wavelength (nm),EQE pixel 1,EQE pixel 2,EQE pixel 3,EQE pixel 4,EQE pixel 5,EQE pixel 6,EQE pixel 7,EQE pixel 8
349.973,0.12950808414673307,0.057601803797138036,0.051651317285195536,0.043446249457393275,0.11286575768719384,0.04265127606131291,0.24544635716914548,0.2185697205864074
359.99,0.16100875018410896,0.06431880936205778,0.0582571094513815,0.04630039065574232,0.13711481892935537,0.04512615853435735,0.31318512086338574,0.28142063941130874
370.003,0.18475202689003573,0.0706743005896691,0.06383062254571717,0.04833409479220002,0.1571432291898574,0.04655998226744041,0.3671826523442932,0.33426549664270205
380.013,0.21691443968677326,0.07980522530648469,0.0740058842821864,0.05387986667393425,0.1855180039175306,0.04948124452227672,0.4366688132539715,0.40619197016904607
390.019,0.2507203458547694,0.09006447147418489,0.0891210870010964,0.06190641336946637,0.21443986853400976,0.05287469201332289,0.5039976692433752,0.47473193285879944
400.022,0.2785685731322361,0.09892052927923146,0.10320318578932207,0.07060003152836695,0.23845678714451732,0.055869002226150676,0.5616799878906502,0.5327687396281597
410.021,0.3013617542988125,0.10778376291870816,0.1187168804058097,0.08037383291490341,0.2595265583559162,0.05919525680200126,0.6166649258171797,0.5847130065870776
420.016,0.3219761754834344,0.11648886451672917,0.13600059396286418,0.09070527418853278,0.27849108579931026,0.06324631429293574,0.6661813289526702,0.6360890647560025
430.007,0.34511876976037,0.12692603333645286,0.1542749416649189,0.10060515943204207,0.29785847120550935,0.06801850785656892,0.703312494963531,0.6841572288485949
439.994,0.36831408124494014,0.1344711510910444,0.16885131966056852,0.10973166484795313,0.3157401135994323,0.07091828076973936,0.7339781105667493,0.7218686230480251
449.977,0.38439331554938044,0.13960453093396102,0.18183717337432828,0.11839090398808608,0.3287150529005673,0.07274041137417353,0.757821688623063,0.7498309295120679
460.035,0.3943754947670372,0.14310392956901782,0.19345355624193342,0.12613435204387557,0.33743640394045926,0.07387321375897521,0.7791333092444851,0.7704374044983621
470.01,0.40036735066784074,0.14659730487623726,0.20144968756719928,0.13206482787786905,0.3429770686297532,0.07454073750547467,0.7896247773364758,0.7812951498461712
479.98,0.40303828473998443,0.14758212202612161,0.20815813439820183,0.13696921722992847,0.3462922790351446,0.07463110548645914,0.7955239605744925,0.7858874889844262
490.025,0.4050277040063358,0.14934472345291816,0.2136917642164434,0.14127936392604185,0.34901120296985466,0.0749184328617721,0.801461750989198,0.7900631217998952
499.985,0.40494030911987133,0.15022195283994186,0.21767149167000668,0.144485004434826,0.3497830223384852,0.07485848513899668,0.8018369256827235,0.7885777654226839
510.021,0.405861484802628,0.1509261906607955,0.22191097088457754,0.14746025167709442,0.3509600306752089,0.07508323724491903,0.8014263096749262,0.7886576736789719
519.972,0.40403294964973036,0.15022454080871714,0.22349469913525638,0.14900690569008374,0.3497354509943367,0.07476152804130227,0.7936103864864574,0.782508639563867
529.998,0.40208526388214083,0.15061727307616143,0.22560670149504014,0.15117192264427204,0.3470290030848618,0.0745058176678151,0.7850938476291134,0.776463191898894
540.019,0.40145080917409615,0.15132331352713477,0.23051705282422855,0.15562784451652284,0.346293105363539,0.07467892986515713,0.7788439552340406,0.7731572148835285
550.034,0.3981093868098609,0.151129873638207,0.23583191023116443,0.1603017873769262,0.3432124090075632,0.07438586486565812,0.7694262277842137,0.7639746799315227
559.965,0.39582319958632733,0.15162400147316804,0.24246947313479236,0.1651610027792569,0.3407396538384128,0.07427267202437461,0.7588295022125775,0.7562344871199028
569.97,0.3943414348200585,0.15256103564291718,0.24821737458059423,0.16855140315011494,0.33961902344370304,0.07423534819553969,0.7487117159416897,0.7504040461921485
579.97,0.3933611829043543,0.15352894361491373,0.25243647252704005,0.17150696507527655,0.33799853575971706,0.07437336104714198,0.7427633071444331,0.7442684351368604
589.964,0.3910525050238293,0.15403237402075134,0.25517927323788464,0.17340360351904915,0.33615686484755003,0.07434988974266053,0.7401443256365069,0.7350492845462697
600.032,0.39069174528985195,0.15553309471937882,0.25868776834807977,0.17558176307262002,0.3363372488549113,0.07477061044210735,0.7386685391282589,0.7283981470789717
610.014,0.3886814678866669,0.156355766281628,0.25960207974531857,0.17606125616462578,0.33539213186691047,0.07491900742573195,0.7315074847987858,0.7171938085749391
619.991,0.38691253367027323,0.1569130969107096,0.2587331403044735,0.175372867120481,0.33402438861693934,0.07492444933189037,0.7240518439077008,0.7057331506705078
629.962,0.38667740018834046,0.1576197529029899,0.25782086478766797,0.1749984991754366,0.3343479133553675,0.07524246545819346,0.7238374183641407,0.6975577539981281
640.006,0.3878522465013689,0.1587663532056497,0.25817924957636285,0.17481829491004974,0.33517404515538624,0.07541329346316963,0.7224116352140155,0.6927390881542012
649.964,0.38648797842573135,0.1582974238100412,0.2565015081310702,0.17289908368600593,0.33351977133538435,0.07501235910251529,0.7140200107527336,0.6818448389284779
659.996,0.3866082268162458,0.15872717363234226,0.2549976972082162,0.17111903541016488,0.3325059143332841,0.07473483927389114,0.7076920249221199,0.6709280859813554
670.021,0.38720760613414634,0.15968487601195117,0.25283092826720893,0.16887802825673867,0.3324419325290453,0.0740245271171722,0.6878565193145637,0.6486690149704654
680.039,0.38665851022185616,0.15914086268741406,0.24918622477436633,0.16593960380549072,0.3320611809834808,0.07237847209840848,0.6438065145093268,0.6028139770092136
690.015,0.3763239683636788,0.1593350355337066,0.23061570920441732,0.151336190919874,0.32547042435960477,0.0669714115861177,0.5794169843220174,0.5281941692453098
700.014,0.3731461886799198,0.15880344176196148,0.23119341643193309,0.15217307732081253,0.3226261652770818,0.062697680804054,0.5252647342276254,0.47245726969173113
710.006,0.36732758381135305,0.15753323595950403,0.22854513385656666,0.1490925719774985,0.3196094823193623,0.057209256740833894,0.4765695860897385,0.4275485002059103
719.99,0.35186258045371527,0.15427020696712496,0.22176830208953532,0.1419938502366383,0.3139438798853879,0.051067432193035375,0.4213507332370802,0.38043791123389903
729.968,0.32297619243070785,0.1481585864557794,0.21068379380006091,0.13126314186554774,0.29927833802991244,0.044932505227073365,0.35528107596495967,0.3251411396109333
740.018,0.27477453842257654,0.1383574340248703,0.1909625566151059,0.11452230313401718,0.2693135788191943,0.0389919220885967,0.27435550787001595,0.26038453133904954
749.981,0.20808898303924703,0.12296700620892387,0.16297454809194845,0.0923874942419236,0.21913695078865464,0.033250184138241316,0.1873276398019849,0.18556519805656832
