Wavelength (nm),Power (W)
349.989,1.1392178052700007e-07
359.994,1.4015678771900002e-07
369.997,1.7076760208900005e-07
379.995,2.2150483154799992e-07
389.991,3.0648146619e-07
399.982,4.019288644200003e-07
409.97,5.051784879299999e-07
420.034,6.108315065699999e-07
430.014,6.6458311622e-07
439.989,7.691934019200001e-07
449.961,8.897982081400004e-07
460.008,1.00853139682e-06
469.972,1.1093292275300005e-06
480.01,1.2272250108299995e-06
489.964,1.3353572427800007e-06
499.993,1.4359848949899998e-06
510.018,1.5245963606400002e-06
520.037,1.597323010269999e-06
529.972,1.6745435324799998e-06
539.982,1.7154979167699995e-06
549.986,1.7511738857500003e-06
559.985,1.8192089953600007e-06
569.979,1.8362547148199996e-06
579.967,1.841951050950001e-06
590.029,1.8539794799500003e-06
600.006,1.8535239387899998e-06
609.977,1.8007209437099996e-06
620.021,1.7231477453499995e-06
629.981,1.6785819402500001e-06
640.013,1.6485405621399997e-06
650.039,1.6020062019799991e-06
659.98,1.5307905818200002e-06
669.994,1.4492614599100008e-06
680.001,1.3597476117500001e-06
689.983,1.45992261935e-06
699.979,1.4881511981899997e-06
709.968,1.4954151368000006e-06
720.029,1.4748072067000007e-06
730.004,1.4392784613099986e-06
739.972,1.4080676618099998e-06
750.011,1.3619483860999995e-06
