Wavelength (nm),Current (A)
349.973,1.7593522672222226e-09
359.99,2.525819656555556e-09
370.003,3.591340222222224e-09
380.013,5.725028397666667e-09
390.019,8.855678963111113e-09
400.022,1.2528426644444444e-08
410.021,1.706971841222222e-08
420.016,2.2707807796666673e-08
430.007,2.6908919297777778e-08
439.994,3.383811628e-08
449.977,4.0935478745555544e-08
460.035,4.835847931444444e-08
470.01,5.554133466444442e-08
479.98,6.377126469333331e-08
490.025,7.069612067111112e-08
499.985,7.76915841022222e-08
510.021,8.397929205555553e-08
519.972,9.01605812133333e-08
529.998,9.549968038444446e-08
540.019,9.926586430222221e-08
550.034,1.0308974591777782e-07
559.965,1.1027834198000002e-07
569.97,1.1506671373333329e-07
579.97,1.1893014149999995e-07
589.964,1.2373821974444444e-07
600.032,1.2567020683333332e-07
610.014,1.2367958755555556e-07
619.991,1.207643414666667e-07
629.962,1.1960142075555556e-07
640.006,1.1885771446666671e-07
649.964,1.1571081423333337e-07
659.996,1.0996806046222218e-07
670.021,1.0326540193111118e-07
680.039,9.710267604333333e-08
690.015,1.0078407983888882e-07
700.014,1.0443796589666666e-07
710.006,1.0469293025999996e-07
719.99,1.0140933336333332e-07
729.968,9.462920673333327e-08
740.018,8.36371344466667e-08
749.981,6.706688484777778e-08
