Wavelength (nm),Current (A)
349.989,5.497614044555555e-09
359.994,1.0249295958111107e-08
369.997,1.5804193483333327e-08
379.995,2.612199497666667e-08
389.991,4.4738341582222204e-08
399.982,6.812327988444442e-08
409.97,9.552224690333334e-08
420.034,1.279475616e-07
430.014,1.5003610526666666e-07
439.989,1.850907094e-07
449.961,2.284413165222222e-07
460.008,2.755743845e-07
469.972,3.135092216333335e-07
480.01,3.5980756702222223e-07
489.964,4.006436432333332e-07
499.993,4.4060671145555555e-07
510.018,4.755961491888889e-07
520.037,5.052816443777778e-07
529.972,5.339624309444446e-07
539.982,5.517766698111109e-07
549.986,5.692248895111112e-07
559.985,5.993438195777776e-07
569.979,6.098820240777776e-07
579.967,6.162353981444446e-07
590.029,6.284101433111111e-07
600.006,6.358797072999997e-07
609.977,6.207194063888888e-07
620.021,5.99233995588889e-07
629.981,5.883299546888888e-07
640.013,5.858892678999998e-07
650.039,5.761744027444446e-07
659.98,5.492635514888889e-07
669.994,4.993492651111109e-07
680.001,4.0700838718888884e-07
689.983,3.296729277777777e-07
699.979,2.3927812231111115e-07
709.968,1.8021314166666666e-07
720.029,1.3661162001111106e-07
730.004,1.0034118614000001e-07
739.972,6.904462511e-08
750.011,4.277424886888886e-08
