Wavelength (nm),Current (A)
350.005,6.5095979293333326e-09
360.018,1.1319292839999999e-08
370.028,1.679100193333333e-08
380.034,2.6544860978888884e-08
390.036,4.513354553888888e-08
400.035,6.875561463444443e-08
410.031,9.824761994333336e-08
420.022,1.3541380059999998e-07
430.009,1.6361288226666664e-07
439.993,2.0272262796666667e-07
449.972,2.5071318276666657e-07
460.026,2.991255596222222e-07
469.997,3.422383141111112e-07
479.963,3.9037745393333343e-07
490.005,4.3507743911111085e-07
499.962,4.759798092333331e-07
509.993,5.144317547333331e-07
520.02,5.455305311000001e-07
529.963,5.763130468888891e-07
539.98,5.960433254666665e-07
549.992,6.113975084888889e-07
559.998,6.210445133111109e-07
570.0,6.470847203777776e-07
579.995,6.56900739122222e-07
589.986,6.650773106e-07
599.97,6.703889369666664e-07
610.028,6.591515636777778e-07
620.001,6.408914624333334e-07
629.968,6.309071408000001e-07
640.008,6.346999168333335e-07
649.963,6.349111615666667e-07
659.991,6.149509705000002e-07
670.012,5.630764410555557e-07
680.026,4.4022492330000004e-07
690.032,2.575534438666666e-07
700.032,8.866423270444445e-08
710.026,2.4158248154444434e-08
720.012,7.246109373777776e-09
729.991,3.1055872186666658e-09
739.964,1.9723421242222224e-09
750.007,1.5965816313333332e-09
