Wavelength (nm),Power (W)
349.99,1.0525503760700006e-07
359.996,1.3386541425600005e-07
369.998,1.6510122882999996e-07
379.997,2.2123912783299996e-07
389.992,3.1257635810000016e-07
399.984,4.1260782675e-07
409.971,5.185489595700004e-07
420.035,6.279590872199996e-07
430.015,6.846210189700002e-07
439.991,7.90802660059999e-07
449.963,9.136679676999998e-07
460.01,1.0296654212599996e-06
469.973,1.1283332756199995e-06
480.012,1.2443093647199994e-06
489.966,1.349835950409999e-06
499.995,1.4470558545500001e-06
510.02,1.5298115028600001e-06
520.039,1.5980118057899996e-06
529.974,1.6657486986200013e-06
539.984,1.6997984939499995e-06
549.988,1.7277127789999997e-06
559.987,1.7911522319200001e-06
569.981,1.8015035419600005e-06
579.969,1.7986934392999988e-06
590.031,1.8072237695099996e-06
600.008,1.8017845122699979e-06
609.979,1.7496509439900004e-06
620.024,1.6671089752900005e-06
629.983,1.6178745835400007e-06
640.016,1.5908332954999996e-06
649.963,1.5427661406799994e-06
659.983,1.4731672018899994e-06
669.997,1.3903812640799998e-06
680.004,1.306519523600001e-06
689.986,1.51691321203e-06
699.982,1.54948792729e-06
709.971,1.5550338173e-06
720.031,1.5361957997499993e-06
730.006,1.5039748115500002e-06
739.974,1.47006332439e-06
750.014,1.4243063344200008e-06
