Wavelength (nm),Power (W)
349.989,1.1799945926800001e-07
359.994,1.4444600786000012e-07
369.997,1.7652681569799998e-07
379.995,2.2912797378599993e-07
389.991,3.1773964484e-07
399.982,4.145954538499999e-07
409.97,5.150376293599998e-07
420.034,6.205559515100001e-07
430.014,6.782972067900002e-07
439.989,7.859188702400003e-07
449.961,9.088574404300001e-07
460.008,1.0303837157699996e-06
469.972,1.1288298133799995e-06
480.01,1.2426998731099998e-06
489.964,1.3420854185200004e-06
499.993,1.4394181391800008e-06
510.018,1.5173918018199998e-06
520.037,1.5907011083999997e-06
529.972,1.6616506255e-06
539.982,1.6927138229399995e-06
549.986,1.7274141039899985e-06
559.985,1.7878906460700005e-06
569.979,1.7953212625900004e-06
579.967,1.8004913903199992e-06
590.029,1.8086914625100005e-06
600.006,1.7968494017699994e-06
609.977,1.7452503601000007e-06
620.021,1.6669661977499998e-06
629.981,1.6177462003900016e-06
640.013,1.5870651845200004e-06
650.039,1.5400916061299994e-06
659.98,1.471689170090001e-06
669.994,1.3839009619599996e-06
680.001,1.2994436724500007e-06
689.983,1.4832032166999997e-06
699.979,1.5128025341699998e-06
709.968,1.5149015075700004e-06
720.029,1.4983235195000012e-06
730.004,1.4641465917799988e-06
739.972,1.4283674715900006e-06
750.011,1.3851546515200005e-06
