Wavelength (nm),Power (W)
349.973,1.1417180009100002e-07
359.99,1.3921474838800004e-07
370.003,1.7663353040300005e-07
380.013,2.43687688098e-07
390.019,3.2780281146999983e-07
400.022,4.1626854308999976e-07
410.021,5.105903345199997e-07
420.016,6.092123448000001e-07
430.007,6.499957013199995e-07
439.994,7.549003604199999e-07
449.977,8.557251124100005e-07
460.035,9.506310087100004e-07
470.01,1.0362546691699999e-06
479.98,1.141171511e-06
490.025,1.2199405929400004e-06
499.985,1.3033599396000006e-06
510.021,1.3677100747700006e-06
519.972,1.4303954844700002e-06
529.998,1.4808171027999998e-06
540.019,1.5022029600399996e-06
550.034,1.516760513060001e-06
559.965,1.58038946157e-06
569.97,1.6027489619000002e-06
579.97,1.610421693920001e-06
589.964,1.6364540935700002e-06
600.032,1.6230624475899995e-06
610.014,1.5665479150499997e-06
619.991,1.5094914130199993e-06
629.962,1.4768142266999998e-06
640.006,1.4457328342200004e-06
649.964,1.3994365752299996e-06
659.996,1.3187301879800007e-06
670.021,1.2320421882199998e-06
680.039,1.16223475209e-06
690.015,1.2502381906900008e-06
700.014,1.2845629419099996e-06
710.006,1.2972425349500006e-06
719.99,1.29216086012e-06
729.968,1.2730645692699996e-06
740.018,1.2425646258300003e-06
749.981,1.2113375773900002e-06
