Wavelength (nm),Power (W)
349.989,1.1521918971e-07
359.994,1.4038611396500008e-07
369.997,1.69344184611e-07
379.995,2.2320329693299986e-07
389.991,3.088667345199997e-07
399.982,3.991162647600001e-07
409.97,5.065346482199999e-07
420.034,6.142664716600003e-07
430.014,6.734700955000005e-07
439.989,7.805977580900004e-07
449.961,9.059162687700004e-07
460.008,1.0324687769600001e-06
469.972,1.1406772548899991e-06
480.01,1.2689889711900005e-06
489.964,1.38158718638e-06
499.993,1.4892420989499992e-06
510.018,1.58542992151e-06
520.037,1.6676627384000002e-06
529.972,1.75634735759e-06
539.982,1.80122587065e-06
549.986,1.8436183542300013e-06
559.985,1.92154497071e-06
569.979,1.9385909809999993e-06
579.967,1.9455910928300003e-06
590.029,1.9689752704700008e-06
600.006,1.9653689947899995e-06
609.977,1.9069931910499988e-06
620.021,1.8260257907999988e-06
629.981,1.7856182303699992e-06
640.013,1.7512212661600006e-06
650.039,1.711992157849999e-06
659.98,1.63109844204e-06
669.994,1.5429025591700007e-06
680.001,1.4550186107899997e-06
689.983,1.6465474294200003e-06
699.979,1.6836394854800007e-06
709.968,1.6862096208899995e-06
720.029,1.6732039500699987e-06
730.004,1.6340593515699998e-06
739.972,1.596147692420001e-06
750.011,1.5495157327799999e-06
