Wavelength (nm),Power (W)
349.989,1.1372298736599996e-07
359.994,1.4114917085699995e-07
369.997,1.7446166702100006e-07
379.995,2.309499562799998e-07
389.991,3.2789200581999997e-07
399.982,4.2690347463000023e-07
409.97,5.372701090699999e-07
420.034,6.458742765399998e-07
430.014,6.975608283900003e-07
439.989,8.040408327299997e-07
449.961,9.271837719800001e-07
460.008,1.0470031631200005e-06
469.972,1.1455428359399996e-06
480.01,1.2632401634099988e-06
489.964,1.3668283089000006e-06
499.993,1.4592159277999991e-06
510.018,1.5371975035000004e-06
520.037,1.6070896697700007e-06
529.972,1.6788811598599986e-06
539.982,1.7088868487299999e-06
549.986,1.7405460951799997e-06
559.985,1.8051515892e-06
569.979,1.81912019288e-06
579.967,1.8206176173400001e-06
590.029,1.827794141140001e-06
600.006,1.8199648502400006e-06
609.977,1.7742062460599999e-06
620.021,1.696442401109999e-06
629.981,1.650373718589999e-06
640.013,1.6172306179999994e-06
650.039,1.5716065621399993e-06
659.98,1.5005227669399995e-06
669.994,1.4143889381699996e-06
680.001,1.3317311141199995e-06
689.983,1.582074684179999e-06
699.979,1.6088770956899994e-06
709.968,1.61787606039e-06
720.029,1.5984515760399998e-06
730.004,1.5651935273799993e-06
739.972,1.5255083303099996e-06
750.011,1.4831928120999997e-06
