Wavelength (nm),Current (A)
350.005,6.16915749466667e-09
360.018,1.0774560100999996e-08
370.028,1.6129307787777778e-08
380.034,2.5823534174444444e-08
390.036,4.49105910888889e-08
400.035,6.926012119666668e-08
410.031,9.750798849333333e-08
420.022,1.3056599483333334e-07
430.009,1.532994116888889e-07
439.993,1.8785419914444433e-07
449.972,2.316340647444445e-07
460.026,2.761259515333334e-07
469.997,3.147388839666667e-07
479.963,3.586465641555557e-07
490.005,3.995359626888889e-07
499.962,4.361835832333333e-07
509.993,4.708835527333332e-07
520.02,4.997331819666665e-07
529.963,5.290601809555554e-07
539.98,5.479311248444442e-07
549.992,5.635438797e-07
559.998,5.737756501333332e-07
570.0,6.032839043666665e-07
579.995,6.108670420555557e-07
589.986,6.204862090777778e-07
599.97,6.301981818888887e-07
610.028,6.253668111777779e-07
620.001,6.085385794222222e-07
629.968,5.95436044811111e-07
640.008,5.933645375333332e-07
649.963,5.895681376000003e-07
659.991,5.749528307333334e-07
670.012,5.41918122011111e-07
680.026,4.894076474000002e-07
690.032,4.6886561235555543e-07
700.032,4.2736151061111125e-07
710.026,3.9009139928888907e-07
720.012,3.478391925444443e-07
729.991,2.912988689222222e-07
739.964,2.2434917290000002e-07
750.007,1.5376741274444443e-07
