Wavelength (nm),Current (A)
350.005,3.813386848444445e-09
360.018,6.3812687395555525e-09
370.028,9.500223575333336e-09
380.034,1.5474955452222222e-08
390.036,2.7965259101111106e-08
400.035,4.4612315768888904e-08
410.031,6.46368843411111e-08
420.022,8.839512216888886e-08
430.009,1.0587023703444446e-07
439.993,1.319580291222222e-07
449.972,1.6510571453333325e-07
460.026,1.984576848999999e-07
469.997,2.2802939863333336e-07
479.963,2.6165044857777774e-07
490.005,2.934919942e-07
499.962,3.2249634951111125e-07
509.993,3.5001041618888895e-07
520.02,3.7337721531111095e-07
529.963,3.9628229029999995e-07
539.98,4.130759802777777e-07
549.992,4.286878214555558e-07
559.998,4.3919775406666654e-07
570.0,4.6374435158888907e-07
579.995,4.72600733411111e-07
589.986,4.833246256777776e-07
599.97,4.929195006333333e-07
610.028,4.909647877777776e-07
620.001,4.788451814444443e-07
629.968,4.715040863444443e-07
640.008,4.7172548982222213e-07
649.963,4.6885974247777793e-07
659.991,4.5290245847777757e-07
670.012,4.288226238888889e-07
680.026,4.0476673678888896e-07
690.032,4.3315118444444427e-07
700.032,4.451695161333334e-07
710.026,4.442698308777779e-07
720.012,4.273427396333334e-07
729.991,3.9494079269999997e-07
739.964,3.4686661024444436e-07
750.007,2.819927615111112e-07
