Wavelength (nm),Current (A)
349.989,1.315473826777778e-09
359.994,1.5609936332222221e-09
369.997,1.8699109977777778e-09
379.995,2.467859364777779e-09
389.991,3.625752808555556e-09
399.982,5.144397780777777e-09
409.97,7.049579817777775e-09
420.034,9.446808210333332e-09
430.014,1.1370522097222225e-08
439.989,1.4643956364444448e-08
449.961,1.8199594816666668e-08
460.008,2.2085033499999998e-08
469.972,2.564795529777778e-08
480.01,2.980124541e-08
489.964,3.364298947111111e-08
499.993,3.747487453666665e-08
510.018,4.100525038777779e-08
520.037,4.4531117125555546e-08
529.972,4.793944645555556e-08
539.982,5.003325956222224e-08
549.986,5.368614720666666e-08
559.985,5.963304454666668e-08
569.979,6.386769507555556e-08
579.967,6.757831541444441e-08
590.029,7.116334545222222e-08
600.006,7.368691227111111e-08
609.977,7.34221392322222e-08
620.021,7.179395954888886e-08
629.981,7.024704774777778e-08
640.013,6.993057212555556e-08
650.039,6.861068441888888e-08
659.98,6.545032277444444e-08
669.994,6.135426813999996e-08
680.001,5.840296435444443e-08
689.983,6.527362188666665e-08
699.979,6.727183740333332e-08
709.968,6.713738521999997e-08
720.029,6.315476226999999e-08
730.004,5.714233360000001e-08
739.972,4.869483279777776e-08
750.011,3.756039037777777e-08
