Wavelength (nm),Current (A)
349.989,6.047507163444445e-09
359.994,1.1111552970555552e-08
369.997,1.6931751476666665e-08
379.995,2.7688750575555553e-08
389.991,4.686002348e-08
399.982,7.007374631666664e-08
409.97,9.750831180888886e-08
420.034,1.2974028016666666e-07
430.014,1.5251527162222216e-07
439.989,1.8864197658888885e-07
449.961,2.3035675841111107e-07
460.008,2.729458472111111e-07
469.972,3.0938474652222206e-07
480.01,3.516523350555555e-07
489.964,3.891335714888888e-07
499.993,4.2496876823333365e-07
510.018,4.5531265624444436e-07
520.037,4.809250857888889e-07
529.972,5.054422209222224e-07
539.982,5.193337588333336e-07
549.986,5.33282354088889e-07
559.985,5.582144758333331e-07
569.979,5.641230502888888e-07
579.967,5.683153559888891e-07
590.029,5.775494463222221e-07
600.006,5.813164864777779e-07
609.977,5.701821374333336e-07
620.021,5.514853143333332e-07
629.981,5.365583795666666e-07
640.013,5.241234153666665e-07
650.039,5.029057867888889e-07
659.98,4.6663339401111103e-07
669.994,4.167734397666666e-07
680.001,3.6014033262222207e-07
689.983,3.7952805040000006e-07
699.979,3.643419350333333e-07
709.968,3.457752644e-07
720.029,3.1635364666666675e-07
730.004,2.7599770361111094e-07
739.972,2.2553573074444446e-07
750.011,1.6649107546666662e-07
