Wavelength (nm),Power (W)
350.005,1.0298147167400001e-07
360.018,1.2194977344199998e-07
370.028,1.4264182112600002e-07
380.034,1.7656765578900004e-07
390.036,2.4943780871e-07
400.035,3.2435487114e-07
410.031,4.065122816899999e-07
420.022,4.888615163600002e-07
430.009,5.336533396900004e-07
439.993,6.086527082300001e-07
449.972,7.035948905899999e-07
460.026,7.9427538565e-07
469.997,8.646746783799996e-07
479.963,9.471031799199994e-07
490.005,1.0246325563700001e-06
499.962,1.1073589883599992e-06
509.993,1.1940170049000002e-06
520.02,1.2499057566500002e-06
529.963,1.3123138712100008e-06
539.98,1.343192338379999e-06
549.992,1.3762236972599999e-06
559.998,1.3890999702199989e-06
570.0,1.4456743008000003e-06
579.995,1.4546709184400001e-06
589.986,1.4720948445800007e-06
599.97,1.4829347054000005e-06
610.028,1.4514110080399993e-06
620.001,1.3953516167799999e-06
629.968,1.36323413862e-06
640.008,1.3429482998699993e-06
649.963,1.3232347623399999e-06
659.991,1.27072756134e-06
670.012,1.2044026985399993e-06
680.026,1.1371486843599999e-06
690.032,1.21728075892e-06
700.032,1.261811053750001e-06
710.026,1.2814362651000004e-06
720.012,1.2807064916199995e-06
729.991,1.2606165700200004e-06
739.964,1.23079581901e-06
750.007,1.1969369351099995e-06
