Wavelength (nm),Current (A)
350.005,5.000508636999999e-09
360.018,8.698538801333333e-09
370.028,1.3139125181111114e-08
380.034,2.137629541777778e-08
390.036,3.752551437777777e-08
400.035,5.800303626222222e-08
410.031,8.164961424888885e-08
420.022,1.0905012509555552e-07
430.009,1.2869796514444449e-07
439.993,1.587696905e-07
449.972,1.9714231103333323e-07
460.026,2.3674958464444445e-07
469.997,2.7175916244444435e-07
479.963,3.125234044333335e-07
490.005,3.516011794111109e-07
499.962,3.8800870861111126e-07
509.993,4.223231378888886e-07
520.02,4.504531267e-07
529.963,4.778435441888889e-07
539.98,4.961412011111111e-07
549.992,5.135693496777779e-07
559.998,5.235840351444443e-07
570.0,5.492460786111111e-07
579.995,5.553659693444444e-07
589.986,5.632768105888889e-07
599.97,5.677266745888891e-07
610.028,5.535937387666669e-07
620.001,5.25626526911111e-07
629.968,5.015215714555556e-07
640.008,4.847681612000001e-07
649.963,4.667128525333332e-07
659.991,4.396683178777776e-07
670.012,4.077198433444442e-07
680.026,3.783462102777778e-07
690.032,3.9316797463333323e-07
700.032,3.936241740888887e-07
710.026,3.746055976333335e-07
720.012,3.328900035333333e-07
729.991,2.7451565475555557e-07
739.964,2.0936389004444437e-07
750.007,1.448141509666667e-07
