Wavelength (nm),Current (A)
349.973,9.44313651411111e-09
359.99,1.597915346111111e-08
370.003,2.5203524332222216e-08
380.013,4.339370576222223e-08
390.019,6.940765653222221e-08
400.022,1.0054014664333338e-07
410.021,1.4004057662222228e-07
420.016,1.8571629589999993e-07
430.007,2.1310465255555558e-07
439.994,2.623448596777778e-07
449.977,3.132064822111111e-07
460.035,3.645419035777776e-07
470.01,4.113701777222223e-07
479.98,4.653900463999998e-07
490.025,5.13257659711111e-07
499.985,5.568822007555554e-07
510.021,5.917094098444443e-07
519.972,6.228427468333334e-07
529.998,6.497455108888891e-07
540.019,6.643543698777777e-07
550.034,6.749520338333333e-07
559.965,7.060004011555556e-07
569.97,7.19400232088889e-07
579.97,7.263771619111108e-07
589.964,7.410339922444443e-07
600.032,7.439940669666669e-07
610.014,7.25320010711111e-07
619.991,7.042843426000001e-07
629.962,6.963009680444443e-07
640.006,6.920399564333334e-07
649.964,6.754397079111106e-07
659.996,6.381479390111109e-07
670.021,5.578321922333332e-07
680.039,3.702930042333334e-07
690.015,1.9606690706666659e-07
700.014,8.370111008999997e-08
710.006,3.764659160777778e-08
719.99,1.9070692105555562e-08
729.968,1.0101414598666663e-08
740.018,5.339002789999999e-09
749.981,2.9768101314444444e-09
