Wavelength (nm),Current (A)
350.005,6.647182548222222e-09
360.018,1.1543821065555552e-08
370.028,1.7174617610000002e-08
380.034,2.720088464555554e-08
390.036,4.677608733000001e-08
400.035,7.154684353e-08
410.031,1.007908234433333e-07
420.022,1.3617757414444446e-07
430.009,1.609061349666667e-07
439.993,1.9727605787777786e-07
449.972,2.4321874908888895e-07
460.026,2.8897023046666673e-07
469.997,3.2831558061111106e-07
479.963,3.7360977778888885e-07
490.005,4.172099833555555e-07
499.962,4.5680775793333336e-07
509.993,4.93898272933333e-07
520.02,5.22693505788889e-07
529.963,5.509810389333331e-07
539.98,5.686949364333332e-07
549.992,5.832089938111109e-07
559.998,5.909365584888889e-07
570.0,6.164322211444445e-07
579.995,6.224407057666668e-07
589.986,6.329852866999999e-07
599.97,6.451734601111111e-07
610.028,6.45168228611111e-07
620.001,6.318194378444442e-07
629.968,6.231070089444442e-07
640.008,6.228972704888888e-07
649.963,6.183438470666668e-07
659.991,5.966146532777776e-07
670.012,5.335483837666665e-07
680.026,3.5872462143333343e-07
690.032,1.7672308441111112e-07
700.032,7.219991248333333e-08
710.026,3.217996564999999e-08
720.012,1.618062911555555e-08
729.991,8.966010894222224e-09
739.964,5.121176490000001e-09
750.007,2.9859892223333328e-09
