Wavelength (nm),Power (W)
349.973,1.1507501972699994e-07
359.99,1.394014660760001e-07
370.003,1.7567310890800008e-07
380.013,2.407540209249999e-07
390.019,3.237097862499999e-07
400.022,4.104229675999997e-07
410.021,5.051762941299998e-07
420.016,6.018583438799999e-07
430.007,6.440132861199997e-07
439.994,7.457336647300004e-07
449.977,8.475716192099995e-07
460.035,9.438968601100001e-07
470.01,1.0272955430999996e-06
479.98,1.1290560496199998e-06
490.025,1.2059853975400005e-06
499.985,1.2913526802300007e-06
510.021,1.3505025702699998e-06
519.972,1.4126983063400003e-06
529.998,1.4608621932500003e-06
540.019,1.479239817880001e-06
550.034,1.4946736297400004e-06
559.965,1.5533908685199992e-06
569.97,1.5762655799300007e-06
579.97,1.58202053176e-06
589.964,1.6042546571000003e-06
600.032,1.5919206913600002e-06
610.014,1.5378058611700003e-06
619.991,1.4833277726099995e-06
629.962,1.4481942048400008e-06
640.006,1.4197866187600006e-06
649.964,1.3734260096699995e-06
659.996,1.2989956889100003e-06
670.021,1.2121012790799996e-06
680.039,1.1424925352299997e-06
690.015,1.2260429061800004e-06
700.014,1.2643100644100004e-06
710.006,1.2759299050899993e-06
719.99,1.2736136636799998e-06
729.968,1.25220645994e-06
740.018,1.2272183192799994e-06
749.981,1.1981953974800002e-06
