Wavelength (nm),Power (W)
349.973,1.0547455063099994e-07
359.99,1.27865044304e-07
370.003,1.61390614717e-07
380.013,2.2023936306199988e-07
390.019,2.9715506288e-07
400.022,3.805003742899999e-07
410.021,4.716843395000001e-07
420.016,5.656386323499995e-07
430.007,6.080960556300001e-07
439.994,7.083346986200003e-07
449.977,8.113949973800002e-07
460.035,9.064064845700005e-07
470.01,9.9380654395e-07
479.98,1.09965820167e-06
490.025,1.1814299463899992e-06
499.985,1.270387228879999e-06
510.021,1.338185654790001e-06
519.972,1.403086534990001e-06
529.998,1.458822625830001e-06
540.019,1.4818983054999994e-06
550.034,1.5031639151800008e-06
559.965,1.5702281631799998e-06
569.97,1.5950852048200002e-06
579.97,1.6102162038999997e-06
589.964,1.6352895709900006e-06
600.032,1.6264463272e-06
610.014,1.5713935801300008e-06
619.991,1.5158399810899996e-06
629.962,1.4831048224999995e-06
640.006,1.4566666789500004e-06
649.964,1.4087746296700002e-06
659.996,1.331476083259999e-06
670.021,1.24552597184e-06
680.039,1.1721046035599998e-06
690.015,1.2873921736600005e-06
700.014,1.3277932237299996e-06
710.006,1.3440345894899996e-06
719.99,1.3402429061699998e-06
729.968,1.3228750952900002e-06
740.018,1.2933451631900003e-06
749.981,1.2618711116699997e-06
