Wavelength (nm),Power (W)
350.005,1.107626114759998e-07
360.018,1.48835365137e-07
370.028,1.9214848505799978e-07
380.034,2.6668025270999987e-07
390.036,4.0660541526000005e-07
400.035,5.591033439600005e-07
410.031,7.213925903799989e-07
420.022,8.980283109700001e-07
430.009,9.970869718699996e-07
439.993,1.1638005729400003e-06
449.972,1.3680853140299993e-06
460.026,1.5636014469300004e-06
469.997,1.7284706190000005e-06
479.963,1.9183858249300027e-06
490.005,2.0910523509000004e-06
499.962,2.259227329000001e-06
509.993,2.409620503400001e-06
520.02,2.5233028693000027e-06
529.963,2.6447709629000004e-06
539.98,2.716072151000001e-06
549.992,2.7755891911999976e-06
559.998,2.813294575600002e-06
570.0,2.9158987357e-06
579.995,2.952069261399999e-06
589.986,2.9772060878000012e-06
599.97,2.9879335032000026e-06
610.028,2.923888962699996e-06
620.001,2.8276551398000002e-06
629.968,2.756153487500002e-06
640.008,2.7088788113000033e-06
649.963,2.651405046600003e-06
659.991,2.5455412566e-06
670.012,2.4109079115000002e-06
680.026,2.2756932020999996e-06
690.032,2.4809759459000025e-06
700.032,2.5658776786000043e-06
710.026,2.6153102871000015e-06
720.012,2.6150191985999987e-06
729.991,2.5798371952999998e-06
739.964,2.5245936896000015e-06
750.007,2.452431549299999e-06
