Wavelength (nm),Power (W)
350.005,1.1552494428299997e-07
360.018,1.2363340807699996e-07
370.028,1.4429949025599998e-07
380.034,1.8589531617999992e-07
390.036,2.251601835389999e-07
400.035,2.989611331899999e-07
410.031,3.675579529199999e-07
420.022,4.556813970999999e-07
430.009,5.090264279499999e-07
439.993,5.963111828700001e-07
449.972,7.016593321299999e-07
460.026,7.990527970900001e-07
469.997,8.828937800000001e-07
479.963,9.7258986756e-07
490.005,1.0470736811699995e-06
499.962,1.1283974796499995e-06
509.993,1.2013211360900003e-06
520.02,1.2575643198799998e-06
529.963,1.3196496604999997e-06
539.98,1.3572257773499999e-06
549.992,1.3852778448499999e-06
559.998,1.4009684440399991e-06
570.0,1.4488529416199992e-06
579.995,1.4504247928599998e-06
589.986,1.4642310168200003e-06
599.97,1.4746387342499992e-06
610.028,1.4473537657499994e-06
620.001,1.4064168107199998e-06
629.968,1.372853868109999e-06
640.008,1.3534239053100005e-06
649.963,1.3324514605699999e-06
659.991,1.2830284811600002e-06
670.012,1.21147863499e-06
680.026,1.1431580728199995e-06
690.032,1.2428383110200003e-06
700.032,1.28531529518e-06
710.026,1.3065260220200002e-06
720.012,1.3092255852799997e-06
729.991,1.2928465940299991e-06
739.964,1.2648871740300006e-06
750.007,1.2433649601199998e-06
