Wavelength (nm),Power (W)
349.989,1.0932569193000002e-07
359.994,1.3697947849700003e-07
369.997,1.6978997990499998e-07
379.995,2.2748484017499987e-07
389.991,3.218102893900001e-07
399.982,4.224652059100002e-07
409.97,5.292028015900002e-07
420.034,6.375999291299995e-07
430.014,6.896697913999998e-07
439.989,7.939857923399998e-07
449.961,9.1495520127e-07
460.008,1.0373045629e-06
469.972,1.1374432219499996e-06
480.01,1.2531376547000002e-06
489.964,1.3526973186399999e-06
499.993,1.4515233329100007e-06
510.018,1.529290641479999e-06
520.037,1.5983845895699993e-06
529.972,1.67122934275e-06
539.982,1.7022990128000002e-06
549.986,1.7327630280500004e-06
559.985,1.8011403296200009e-06
569.979,1.8087428342500006e-06
579.967,1.8102694070300012e-06
590.029,1.8199925094299999e-06
600.006,1.8116694241599999e-06
609.977,1.7569297620100003e-06
620.021,1.6786961973099982e-06
629.981,1.633649300209999e-06
640.013,1.6000133087299981e-06
650.039,1.55778846813e-06
659.98,1.4884779720700009e-06
669.994,1.4029502540100004e-06
680.001,1.3211362215100002e-06
689.983,1.559302512540001e-06
699.979,1.5836282471900003e-06
709.968,1.601350737169999e-06
720.029,1.5761919394200004e-06
730.004,1.5486877817599996e-06
739.972,1.5078887599899996e-06
750.011,1.4679477123900005e-06
