Wavelength (nm),Current (A)
349.989,4.0802102025555555e-09
359.994,7.226672034555554e-09
369.997,1.0902530562555555e-08
379.995,1.7810817701111108e-08
389.991,3.047568653444444e-08
399.982,4.589640522444446e-08
409.97,6.417464375999996e-08
420.034,8.663234711999997e-08
430.014,1.0444402503555553e-07
439.989,1.313743859888888e-07
449.961,1.6169396337777782e-07
460.008,1.9346318918888894e-07
469.972,2.2148285016666666e-07
480.01,2.5388641989999997e-07
489.964,2.8362536001111107e-07
499.993,3.120402744333332e-07
510.018,3.379490015333335e-07
520.037,3.6107663418888874e-07
529.972,3.820894434333333e-07
539.982,3.9502580454444455e-07
549.986,4.081954359666667e-07
559.985,4.3221530217777776e-07
569.979,4.3864429388888905e-07
579.967,4.4384595708888874e-07
590.029,4.530194308666666e-07
600.006,4.5720176693333337e-07
609.977,4.4661973154444444e-07
620.021,4.3053722961111113e-07
629.981,4.211496432555557e-07
640.013,4.1836926003333347e-07
650.039,4.102215827555555e-07
659.98,3.9366148655555555e-07
669.994,3.7220300774444446e-07
680.001,3.481478939666666e-07
689.983,4.0089728061111095e-07
699.979,4.0060446336666687e-07
709.968,3.838930972555554e-07
720.029,3.444349497999999e-07
730.004,2.8754600602222225e-07
739.972,2.1779080443333324e-07
750.011,1.4395015090000004e-07
