Wavelength (nm),Current (A)
349.973,7.715078694333333e-09
359.99,1.2800999383333334e-08
370.003,2.0030114446666666e-08
380.013,3.507306888666666e-08
390.019,5.704473953444442e-08
400.022,8.355864684666666e-08
410.021,1.1458464919999999e-07
420.016,1.5048836295555564e-07
430.007,1.739092190888889e-07
439.994,2.1623741225555552e-07
449.977,2.6004208855555546e-07
460.035,3.0378618318888884e-07
470.01,3.463427366111112e-07
479.98,3.941582936222223e-07
490.025,4.346724889111112e-07
499.985,4.7561020107777763e-07
510.021,5.087180184777775e-07
519.972,5.368243248555554e-07
529.998,5.629870355666664e-07
540.019,5.78023084522222e-07
550.034,5.893421427222223e-07
559.965,6.190449618555556e-07
569.97,6.315530411777782e-07
579.97,6.420024940555556e-07
589.964,6.524639188111111e-07
600.032,6.612677801777777e-07
610.014,6.538687165333336e-07
619.991,6.342372962888888e-07
629.962,6.243644904666667e-07
640.006,6.18702150911111e-07
649.964,6.004077783777777e-07
659.996,5.655361493888887e-07
670.021,5.068874316333333e-07
680.039,4.1615371486666654e-07
690.015,3.8038740737777764e-07
700.014,3.3758633876666657e-07
710.006,3.0058204939999985e-07
719.99,2.6349514063333325e-07
729.968,2.2322190842222212e-07
740.018,1.7719140537777783e-07
749.981,1.2689549364444446e-07
