Wavelength (nm),Current (A)
350.005,3.2370878945555557e-09
360.018,5.336375429111111e-09
370.028,7.778667462888889e-09
380.034,1.2561162159999999e-08
390.036,2.2549306314444442e-08
400.035,3.591607591333332e-08
410.031,5.2173476628888876e-08
420.022,7.243114028777778e-08
430.009,8.90479624377778e-08
439.993,1.1300429622222222e-07
449.972,1.4281988515555557e-07
460.026,1.7330126912222224e-07
469.997,1.999055614666667e-07
479.963,2.2958916077777776e-07
490.005,2.575898220555555e-07
499.962,2.825751842222223e-07
509.993,3.064258251444445e-07
520.02,3.256388028333332e-07
529.963,3.452479701333334e-07
539.98,3.5961892259999986e-07
549.992,3.7272119308888897e-07
559.998,3.816644532555556e-07
570.0,4.026261517888889e-07
579.995,4.1022713894444447e-07
589.986,4.1914504924444437e-07
599.97,4.2682805853333325e-07
610.028,4.2407613697777776e-07
620.001,4.124872128e-07
629.968,4.051021032555556e-07
640.008,4.0482797090000014e-07
649.963,4.0202608876666673e-07
659.991,3.883772354333332e-07
670.012,3.6697378841111113e-07
680.026,3.450136054555555e-07
690.032,3.6749561543333327e-07
700.032,3.785592614000001e-07
710.026,3.7839914667777774e-07
720.012,3.6429498484444443e-07
729.991,3.371135287444445e-07
739.964,2.960040910555556e-07
750.007,2.3837250338888888e-07
