Wavelength (nm),Power (W)
349.973,9.373398909900002e-08
359.99,1.1286077788999998e-07
370.003,1.357081359319999e-07
380.013,1.7116157152699998e-07
390.019,2.3607133393599993e-07
400.022,3.1659374663000017e-07
410.021,4.036578372999997e-07
420.016,4.965615768199998e-07
430.007,5.488906998299998e-07
439.994,6.328787827500005e-07
449.977,7.383553927000002e-07
460.035,8.3848383378e-07
470.01,9.300669157199994e-07
479.98,1.0236260310800005e-06
490.025,1.1173458241399998e-06
499.985,1.19922487137e-06
510.021,1.2781815775599996e-06
519.972,1.3415574881999995e-06
529.998,1.4049528732199996e-06
540.019,1.4478132880499998e-06
550.034,1.4661343079100004e-06
559.965,1.5045273011100003e-06
569.97,1.5621569889499994e-06
579.97,1.5761210540099992e-06
589.964,1.5950390843100002e-06
600.032,1.6122366667599997e-06
610.014,1.58796768637e-06
619.991,1.5313365315899994e-06
629.962,1.4796666203599996e-06
640.006,1.4504579399900012e-06
649.964,1.421238292199999e-06
659.996,1.3624878636399999e-06
670.021,1.2801835868100002e-06
680.039,1.1990514119300006e-06
690.015,1.2722738801500006e-06
700.014,1.3251661829200004e-06
710.006,1.3604650741299995e-06
719.99,1.3681389464399994e-06
729.968,1.3557177089300003e-06
740.018,1.331026520060001e-06
749.981,1.3034641880500006e-06
