Wavelength (nm),Power (W)
349.989,9.326433045400004e-08
359.994,1.0585134411699996e-07
369.997,1.2148792044999997e-07
379.995,1.48095872418e-07
389.991,1.9190536386200006e-07
399.982,2.421385657340001e-07
409.97,2.9569732221e-07
420.034,3.514361219500002e-07
430.014,3.799199646000001e-07
439.989,4.362323436300003e-07
449.961,5.0234926856e-07
460.008,5.673832161999996e-07
469.972,6.2258472407e-07
480.01,6.8622549237e-07
489.964,7.443064763099998e-07
499.993,7.954345506100001e-07
510.018,8.368922224099997e-07
520.037,8.768695582300004e-07
529.972,9.208870813599997e-07
539.982,9.445149768800006e-07
549.986,9.739110078700008e-07
559.985,1.01089154927e-06
569.979,1.0186739628099997e-06
579.967,1.0220799941900007e-06
590.029,1.0322263773900006e-06
600.006,1.0300114070100004e-06
609.977,1.0000373271700003e-06
620.021,9.516239723700005e-07
629.981,9.257816188100002e-07
640.013,9.091175925300001e-07
650.039,8.809326282999995e-07
659.98,8.434466624500001e-07
669.994,7.955311966300003e-07
680.001,7.511493206300003e-07
689.983,8.880827658599998e-07
699.979,9.049667196399998e-07
709.968,9.058437717800003e-07
720.029,8.949731219099999e-07
730.004,8.744333141000003e-07
739.972,8.5131814275e-07
750.011,8.239584007400001e-07
