Wavelength (nm),Current (A)
349.99,3.5308251329999995e-09
359.996,6.185127685666664e-09
369.998,9.184297690444448e-09
379.997,1.4998511435555555e-08
389.992,2.5198698803333342e-08
399.984,3.763597956666668e-08
409.971,5.223122379111111e-08
420.035,7.006229699777778e-08
430.015,8.358547245333334e-08
439.991,1.0458715174999999e-07
449.963,1.2901855069999995e-07
460.01,1.5428785686666669e-07
469.973,1.7629189168888888e-07
480.012,2.0137787223333326e-07
489.966,2.2436447572222215e-07
499.995,2.469421301555556e-07
510.02,2.669522179444445e-07
520.039,2.841196481444445e-07
529.974,3.0048521486666666e-07
539.984,3.103857609222223e-07
549.988,3.2012085674444436e-07
559.987,3.3662048968888896e-07
569.981,3.4290885608888904e-07
579.969,3.491251680111111e-07
590.031,3.5730719113333335e-07
600.008,3.6065989913333305e-07
609.979,3.527238517333333e-07
620.024,3.395960036666667e-07
629.983,3.3047485694444434e-07
640.016,3.2574269290000017e-07
649.963,3.177533292222224e-07
659.983,3.0259155910000024e-07
669.997,2.8454794907777786e-07
680.004,2.674519750555556e-07
689.986,3.0300316654444445e-07
699.982,3.036637954666666e-07
709.971,2.9221465209999984e-07
720.031,2.6651749157777773e-07
730.006,2.279854289666667e-07
739.974,1.791220454333333e-07
750.014,1.2276007239999997e-07
