Wavelength (nm),Current (A)
349.989,3.5685552912222237e-09
359.994,6.266939266e-09
369.997,9.48446364288889e-09
379.995,1.5339263556666665e-08
389.991,2.5761699089999996e-08
399.982,3.857420886444445e-08
409.97,5.346033259111107e-08
420.034,7.076534855222222e-08
430.014,8.254852965333338e-08
439.989,1.0148875555444445e-07
449.961,1.2425269492222218e-07
460.008,1.479537143e-07
469.972,1.6915929171111117e-07
480.01,1.9423965250000003e-07
489.964,2.1639619574444444e-07
499.993,2.3809215785555563e-07
510.018,2.5720295949999994e-07
520.037,2.729065714555555e-07
529.972,2.8745974007777776e-07
539.982,2.966220010111111e-07
549.986,3.0616280449999983e-07
559.985,3.2131568766666654e-07
569.979,3.256998827666668e-07
579.967,3.282883315555556e-07
590.029,3.3359062696666656e-07
600.006,3.3621729238888897e-07
609.977,3.288199323555554e-07
620.021,3.177383976222219e-07
629.981,3.1197009900000015e-07
640.013,3.1012692152222216e-07
650.039,3.0445612958888896e-07
659.98,2.9070651181111095e-07
669.994,2.721150818444445e-07
680.001,2.5331034041111104e-07
689.983,2.9165887642222216e-07
699.979,2.8149449981111126e-07
709.968,2.5569010413333335e-07
720.029,2.150708074555554e-07
730.004,1.674631191222222e-07
739.972,1.2040732992222213e-07
750.011,7.864845965444444e-08
