Wavelength (nm),Power (W)
349.989,1.1870049590100008e-07
359.994,1.427725699430001e-07
369.997,1.7326968126799982e-07
379.995,2.2585842836399992e-07
389.991,3.128727181e-07
399.982,4.093643896600001e-07
409.97,5.126751544399997e-07
420.034,6.196764380299999e-07
430.014,6.769108429000001e-07
439.989,7.807407476499995e-07
449.961,9.081020383500002e-07
460.008,1.0302436003999997e-06
469.972,1.1314193840800005e-06
480.01,1.2488233901200012e-06
489.964,1.3617871530800003e-06
499.993,1.47023075274e-06
510.018,1.5596571506100004e-06
520.037,1.63635000956e-06
529.972,1.7191961299600003e-06
539.982,1.76191013735e-06
549.986,1.8007444151800007e-06
559.985,1.874012865690001e-06
569.979,1.8870039677799992e-06
579.967,1.8956298797600005e-06
590.029,1.9110961843000008e-06
600.006,1.8983372497999998e-06
609.977,1.845297105969999e-06
620.021,1.7695390323399991e-06
629.981,1.7224875459000005e-06
640.013,1.6902413034899994e-06
650.039,1.6439631844100005e-06
659.98,1.5734871738100007e-06
669.994,1.4850609625100003e-06
680.001,1.3960714090800002e-06
689.983,1.5040793407799995e-06
699.979,1.5294581373500002e-06
709.968,1.5351931096799993e-06
720.029,1.5173047870600004e-06
730.004,1.4847273479400003e-06
739.972,1.44516485883e-06
750.011,1.4012870122100012e-06
