Wavelength (nm),Current (A)
349.973,5.810057241666668e-09
359.99,1.0917687890666672e-08
370.003,1.7304408644444443e-08
380.013,2.7892045786666666e-08
390.019,4.733330906444443e-08
400.022,7.303571265111111e-08
410.021,1.0395594638000002e-07
420.016,1.419950507555556e-07
430.007,1.6957338728888893e-07
439.994,2.0900614921111113e-07
449.977,2.595366636444444e-07
460.035,3.107530758333334e-07
470.01,3.594004609666665e-07
479.98,4.1053177116666684e-07
490.025,4.6314539646666676e-07
499.985,5.095845365777778e-07
510.021,5.545037243444444e-07
519.972,5.892353476444447e-07
529.998,6.241795984999999e-07
540.019,6.49305507877778e-07
550.034,6.619829204555553e-07
559.965,6.820324722111108e-07
569.97,7.117020961777779e-07
579.97,7.246925512666668e-07
589.964,7.383605352666667e-07
600.032,7.578779474777777e-07
610.014,7.560678481999998e-07
619.991,7.355729918555554e-07
629.962,7.186844284999995e-07
640.006,7.124495871222223e-07
649.964,7.051274897999997e-07
659.996,6.799161969222221e-07
670.021,6.189521683555557e-07
680.039,4.561497004555554e-07
690.015,2.2573335514444436e-07
700.014,8.596834441555556e-08
710.006,3.018348536333333e-08
719.99,1.0964050477555554e-08
729.968,4.763212244222223e-09
740.018,2.7166941227777765e-09
749.981,1.913341245111112e-09
