Wavelength (nm),Power (W)
349.973,1.11583880866e-07
359.99,1.3542375797000006e-07
370.003,1.7190572513200004e-07
380.013,2.3663988016e-07
390.019,3.1993769274999996e-07
400.022,4.0684536984e-07
410.021,4.9975525774e-07
420.016,5.9665904405e-07
430.007,6.358282268799999e-07
439.994,7.303757587399997e-07
449.977,8.287469540299999e-07
460.035,9.261025678200007e-07
470.01,1.0153084417599993e-06
479.98,1.1149298424599998e-06
490.025,1.19684208278e-06
499.985,1.2871782831499996e-06
510.021,1.3492065789999998e-06
519.972,1.4132640001000004e-06
529.998,1.4646265884199992e-06
540.019,1.4918910898800006e-06
550.034,1.5085663733200003e-06
559.965,1.5728139385300005e-06
569.97,1.5946770117399996e-06
579.97,1.6018955904100003e-06
589.964,1.6234834123599991e-06
600.032,1.6071817549800005e-06
610.014,1.5485897825199997e-06
619.991,1.4866753946000002e-06
629.962,1.44793930985e-06
640.006,1.4216694978499991e-06
649.964,1.3790557937299996e-06
659.996,1.2993196617800005e-06
670.021,1.2147678533000002e-06
680.039,1.1465492703900006e-06
690.015,1.2369114307999992e-06
700.014,1.27052503959e-06
710.006,1.2840731199100007e-06
719.99,1.2765965760099993e-06
729.968,1.25507217831e-06
740.018,1.2252899648300001e-06
749.981,1.1982652543499997e-06
