Wavelength (nm),Power (W)
350.005,1.1372395286299995e-07
360.018,1.31636638088e-07
370.028,1.513582645230001e-07
380.034,1.8360155452000004e-07
390.036,2.4571989692e-07
400.035,3.1866383647000007e-07
410.031,4.012011668499998e-07
420.022,4.939680263400004e-07
430.009,5.430974636199999e-07
439.993,6.237007662399998e-07
449.972,7.271076961700004e-07
460.026,8.274515625000002e-07
469.997,9.073223717700003e-07
479.963,1.0054654677399993e-06
490.005,1.0877472937499993e-06
499.962,1.1646250789600004e-06
509.993,1.2326629831499995e-06
520.02,1.2913728328999994e-06
529.963,1.3480389616999997e-06
539.98,1.38500885958e-06
549.992,1.4138794074399996e-06
559.998,1.4248452169399989e-06
570.0,1.4823009092600004e-06
579.995,1.5017969945199993e-06
589.986,1.5103126417200004e-06
599.97,1.5198443361699994e-06
610.028,1.49101185287e-06
620.001,1.43561135141e-06
629.968,1.4001121633599997e-06
640.008,1.3812146522099996e-06
649.963,1.3581984307899997e-06
659.991,1.3088537957600002e-06
670.012,1.2396859437999999e-06
680.026,1.1695177610800005e-06
690.032,1.2625287683799993e-06
700.032,1.3076429695600011e-06
710.026,1.3330347792299993e-06
720.012,1.3299850770199999e-06
729.991,1.3150386678400001e-06
739.964,1.2880493067400007e-06
750.007,1.2529839813399998e-06
