Wavelength (nm),Power (W)
350.005,1.0047097898499988e-07
360.018,1.428154812540001e-07
370.028,1.66421961155e-07
380.034,2.0209814174899997e-07
390.036,2.6809855793e-07
400.035,3.4537138448999995e-07
410.031,4.251472583900003e-07
420.022,5.091015890699998e-07
430.009,5.5167661081e-07
439.993,6.2935063458e-07
449.972,7.256054868800005e-07
460.026,8.196595609300005e-07
469.997,8.966605549100001e-07
479.963,9.9001744326e-07
490.005,1.0708200778699999e-06
499.962,1.1512070454800004e-06
509.993,1.2230138770400005e-06
520.02,1.2754869185900005e-06
529.963,1.3358147475099996e-06
539.98,1.3678769983499996e-06
549.992,1.3867796905799995e-06
559.998,1.3895327623400003e-06
570.0,1.4403035424499993e-06
579.995,1.4567273571000005e-06
589.986,1.4710735416400006e-06
599.97,1.48289503734e-06
610.028,1.4567306192299995e-06
620.001,1.4089500012599997e-06
629.968,1.3795251390600005e-06
640.008,1.3626275506199998e-06
649.963,1.3444904964900006e-06
659.991,1.2984398836600003e-06
670.012,1.2357024082000003e-06
680.026,1.16770747743e-06
690.032,1.2482741431000002e-06
700.032,1.2919511818199996e-06
710.026,1.3172117945199997e-06
720.012,1.3132130186099999e-06
729.991,1.2949787611799998e-06
739.964,1.2679827756299995e-06
750.007,1.2345916348700008e-06
