Wavelength (nm),Current (A)
349.973,5.441927063777778e-09
359.99,1.0227991187888886e-08
370.003,1.6314145731111108e-08
380.013,2.640473863555556e-08
390.019,4.488618397555553e-08
400.022,6.93639738777778e-08
410.021,9.937879292666664e-08
420.016,1.3595306667777785e-07
430.007,1.6314242899999996e-07
439.994,2.0135303445555545e-07
449.977,2.499267318333334e-07
460.035,2.9882779302222215e-07
470.01,3.445939619777779e-07
479.98,3.9353985864444456e-07
490.025,4.4354148307777763e-07
499.985,4.875807014999999e-07
510.021,5.312997192555556e-07
519.972,5.658937024999999e-07
529.998,6.005597404888893e-07
540.019,6.255730332111109e-07
550.034,6.394204097000001e-07
559.965,6.603687047555554e-07
569.97,6.916640016222225e-07
579.97,7.064774083999997e-07
589.964,7.196644724555555e-07
600.032,7.370364485555554e-07
610.014,7.33173653233333e-07
619.991,7.126395309888888e-07
629.962,6.974948935444446e-07
640.006,6.946158096111112e-07
649.964,6.909547403555557e-07
659.996,6.698186598444442e-07
670.021,6.27391848533333e-07
680.039,5.247146002222221e-07
690.015,3.2344008704444465e-07
700.014,1.358180235e-07
710.006,4.5440631453333345e-08
719.99,1.4720191564444444e-08
729.968,5.577903745e-09
740.018,2.8257985123333327e-09
749.981,1.915841991e-09
