Wavelength (nm),Power (W)
349.973,1.1597003524599991e-07
359.99,1.4052744554000002e-07
370.003,1.7754070177900004e-07
380.013,2.438476569500002e-07
390.019,3.281663192900002e-07
400.022,4.171031063500001e-07
410.021,5.103448958799998e-07
420.016,6.092583606700005e-07
430.007,6.463440311100003e-07
439.994,7.461222344099996e-07
449.977,8.454939361800001e-07
460.035,9.450684612399997e-07
470.01,1.0348792662400004e-06
479.98,1.1364220259300002e-06
490.025,1.2150804404299997e-06
499.985,1.3000526996600001e-06
510.021,1.3588808735599995e-06
519.972,1.424761700249999e-06
529.998,1.47577639834e-06
540.019,1.48914424588e-06
550.034,1.5056247639099988e-06
559.965,1.5692169716800006e-06
569.97,1.5928550839999989e-06
579.97,1.6000417093800005e-06
589.964,1.6235807436500003e-06
600.032,1.6100766844899996e-06
610.014,1.5530861946799988e-06
619.991,1.49188758715e-06
629.962,1.4618183530700006e-06
640.006,1.4330314951500012e-06
649.964,1.3852116399599993e-06
659.996,1.3051705991800006e-06
670.021,1.2222402849799995e-06
680.039,1.1529089028100004e-06
690.015,1.2380775916800004e-06
700.014,1.2764361559399992e-06
710.006,1.2887191291900002e-06
719.99,1.2836356177500007e-06
729.968,1.2632588579400007e-06
740.018,1.2349502121799996e-06
749.981,1.2031626960299998e-06
