Wavelength (nm),Current (A)
349.973,3.3655778448888874e-09
359.99,5.251325214333331e-09
370.003,8.131061927888889e-09
380.013,1.4545907982222222e-08
390.019,2.4505388070000002e-08
400.022,3.718075412222221e-08
410.021,5.394410376333333e-08
420.016,7.674039993777779e-08
430.007,9.592281216444446e-08
439.994,1.2530471043333327e-07
449.977,1.56210092e-07
460.035,1.8751522299999998e-07
470.01,2.1765974545555566e-07
479.98,2.518609592666666e-07
490.025,2.810024764444445e-07
499.985,3.0992500303333324e-07
510.021,3.341217743111113e-07
519.972,3.568105323888888e-07
529.998,3.763595069444444e-07
540.019,3.8821261885555556e-07
550.034,3.9804448894444423e-07
559.965,4.204536429999999e-07
569.97,4.3453090978888877e-07
579.97,4.433858325444446e-07
589.964,4.559944989333334e-07
600.032,4.594579087222222e-07
610.014,4.494436369111111e-07
619.991,4.3696546633333334e-07
629.962,4.3058731155555555e-07
640.006,4.2542169463333327e-07
649.964,4.1036734288888885e-07
659.996,3.858480305555555e-07
670.021,3.5941356947777766e-07
680.039,3.364471188555557e-07
690.015,3.6795886781111127e-07
700.014,3.7762677586666656e-07
710.006,3.730732257777776e-07
719.99,3.536918388666667e-07
729.968,3.1802537943333334e-07
740.018,2.6723070885555544e-07
749.981,2.0221038209999996e-07
