Wavelength (nm),Current (A)
350.005,5.82731382133333e-09
360.018,1.019540552711111e-08
370.028,1.5355331806666673e-08
380.034,2.4702081475555545e-08
390.036,4.3098345776666665e-08
400.035,6.635644476999997e-08
410.031,9.296689755555551e-08
420.022,1.231785751666667e-07
430.009,1.4320658823333334e-07
439.993,1.7439595183333344e-07
449.972,2.152323000777778e-07
460.026,2.5763562885555557e-07
469.997,2.9446601145555555e-07
479.963,3.3704913054444444e-07
490.005,3.7741475578888883e-07
499.962,4.139878335666666e-07
509.993,4.4876658910000005e-07
520.02,4.7669501781111087e-07
529.963,5.045217037444444e-07
539.98,5.227424520666669e-07
549.992,5.378681431777778e-07
559.998,5.461854706999999e-07
570.0,5.711165242666668e-07
579.995,5.765913194555553e-07
589.986,5.874009990333336e-07
599.97,5.981907176555555e-07
610.028,5.942692713999999e-07
620.001,5.774297385333331e-07
629.968,5.643025742777775e-07
640.008,5.560108232444446e-07
649.963,5.37564925588889e-07
659.991,4.958269119111113e-07
670.012,4.344811548111113e-07
680.026,3.6510297428888873e-07
690.032,3.3262257494444427e-07
700.032,2.841615337888888e-07
710.026,2.2876436363333333e-07
720.012,1.6924179522222232e-07
729.991,1.1362571864444442e-07
739.964,6.889536719444444e-08
750.007,3.7855059053333356e-08
