Wavelength (nm),Current (A)
349.989,4.946855300666663e-09
359.994,9.092774824333331e-09
369.997,1.4177733438888886e-08
379.995,2.3893104358888886e-08
389.991,4.1597449402222224e-08
399.982,6.366094001222222e-08
409.97,8.993621946444445e-08
420.034,1.2018557238888894e-07
430.014,1.4084517515555547e-07
439.989,1.7580230648888884e-07
449.961,2.1558462021111108e-07
460.008,2.576073484555555e-07
469.972,2.938736228777778e-07
480.01,3.369040629333333e-07
489.964,3.7586831856666645e-07
499.993,4.1306026035555564e-07
510.018,4.450203201555556e-07
520.037,4.7304109736666676e-07
529.972,4.996057192000002e-07
539.982,5.144176117666668e-07
549.986,5.301135174222221e-07
559.985,5.556670087666665e-07
569.979,5.647042946666668e-07
579.967,5.790752802333333e-07
590.029,5.910384888222221e-07
600.006,6.000674639777779e-07
609.977,5.88866139477778e-07
620.021,5.636216560333334e-07
629.981,5.450127489666668e-07
640.013,5.334801996999998e-07
650.039,5.174280044444444e-07
659.98,4.814006174666667e-07
669.994,4.153807096666663e-07
680.001,3.0868263588888883e-07
689.983,2.2609455656666675e-07
699.979,1.5070318617777775e-07
709.968,9.975871305333332e-08
720.029,6.647469362666662e-08
730.004,4.534554677999996e-08
739.972,2.99429095911111e-08
750.011,1.829834134555556e-08
