Wavelength (nm),Current (A)
349.973,5.200289540333333e-09
359.99,8.501204636000004e-09
370.003,1.3281671431111102e-08
380.013,2.3307718701111103e-08
390.019,3.843206764444443e-08
400.022,5.6761909532222223e-08
410.021,7.895838507555557e-08
420.016,1.0639796661888888e-07
430.007,1.260828571222222e-07
439.994,1.5934371124444443e-07
449.977,1.938100520555556e-07
460.035,2.2878449436666665e-07
470.01,2.610320901888889e-07
479.98,2.972311217999999e-07
490.025,3.2826141858888887e-07
499.985,3.5912042593333344e-07
510.021,3.846683141111111e-07
519.972,4.0846263351111087e-07
529.998,4.287155419222223e-07
540.019,4.402520449999999e-07
550.034,4.482000880555555e-07
559.965,4.6970535963333325e-07
569.97,4.742615439777778e-07
579.97,4.897207635888889e-07
589.964,5.048905775666666e-07
600.032,5.069656927999999e-07
610.014,4.945681471222222e-07
619.991,4.7577591200000025e-07
629.962,4.645368400666667e-07
640.006,4.5067391503333335e-07
649.964,4.2933587740000006e-07
659.996,4.008125039777777e-07
670.021,3.6701412034444454e-07
680.039,3.3412382727777783e-07
690.015,3.423928124888888e-07
700.014,3.4225901443333334e-07
710.006,3.3310159973333335e-07
719.99,3.1352239578888876e-07
729.968,2.835854068222222e-07
740.018,2.4192358914444435e-07
749.981,1.874896955333333e-07
