Wavelength (nm),Current (A)
349.99,3.7329425284444435e-09
359.996,6.658550417111111e-09
369.998,1.001747185422222e-08
379.997,1.6591810226666665e-08
389.992,2.842523946555557e-08
399.984,4.273981453333335e-08
409.971,5.989915650444445e-08
420.035,8.142501050444449e-08
430.015,9.787181510999997e-08
439.991,1.2274496127777775e-07
449.963,1.5206652216666662e-07
460.01,1.827460877333333e-07
469.973,2.0934285292222223e-07
480.012,2.397137077555557e-07
489.966,2.66639391588889e-07
499.995,2.924937277222222e-07
510.02,3.1563864416666664e-07
520.039,3.352187092666666e-07
529.974,3.540123446777777e-07
539.984,3.6496230999999986e-07
549.988,3.76333533411111e-07
559.987,3.945195928888887e-07
569.981,4.005271104e-07
579.969,4.0603474743333327e-07
590.031,4.1450303685555565e-07
600.008,4.1734944795555546e-07
609.979,4.065191915444445e-07
620.024,3.893278982555556e-07
629.983,3.785350711666666e-07
640.016,3.738443999777776e-07
649.963,3.6613535696666667e-07
659.983,3.509168995222223e-07
669.997,3.2884094768888884e-07
680.004,3.080753723444442e-07
689.986,3.509906744777778e-07
699.982,3.513877704111111e-07
709.971,3.375880664666666e-07
720.031,3.0911113814444457e-07
730.006,2.6880591124444447e-07
739.974,2.1820032682222235e-07
750.014,1.582545424111111e-07
