Wavelength (nm),Current (A)
349.989,3.742163279000001e-09
359.994,6.593971002666668e-09
369.997,9.967452141111109e-09
379.995,1.615393271555556e-08
389.991,2.699752636555555e-08
399.982,4.03640311388889e-08
409.97,5.633367400222222e-08
420.034,7.542615434555557e-08
430.014,8.776710021666661e-08
439.989,1.0741096372333336e-07
449.961,1.3178752045555557e-07
460.008,1.5746937898888888e-07
469.972,1.8031954616666663e-07
480.01,2.0663041285555548e-07
489.964,2.2986688690000005e-07
499.993,2.5262624183333333e-07
510.018,2.729882555555555e-07
520.037,2.9000297040000004e-07
529.972,3.064029044333333e-07
539.982,3.1581635503333344e-07
549.986,3.2735576041111116e-07
559.985,3.4042257812222204e-07
569.979,3.4529355577777765e-07
579.967,3.4841779525555555e-07
590.029,3.531360869444444e-07
600.006,3.5290521146666666e-07
609.977,3.42507122811111e-07
620.021,3.294216097333332e-07
629.981,3.234478457111111e-07
640.013,3.231010511111111e-07
650.039,3.183663787e-07
659.98,3.010418992222224e-07
669.994,2.6672100113333344e-07
680.001,2.0807096126666662e-07
689.983,1.663589781777778e-07
699.979,9.816027681666665e-08
709.968,5.2422732788888886e-08
720.029,2.6323781721111115e-08
730.004,1.2991978197777785e-08
739.972,6.50913674222222e-09
750.011,3.509654692444445e-09
