Wavelength (nm),Current (A)
350.005,5.042790053111111e-09
360.018,8.71355524777778e-09
370.028,1.293230533e-08
380.034,2.074450093555555e-08
390.036,3.647989820444445e-08
400.035,5.752669057777778e-08
410.031,8.318141269111106e-08
420.022,1.1442819396666665e-07
430.009,1.3675829002222229e-07
439.993,1.696028632111111e-07
449.972,2.1167035061111102e-07
460.026,2.544283517222222e-07
469.997,2.923938835888889e-07
479.963,3.3582782321111095e-07
490.005,3.7702896805555556e-07
499.962,4.146068511999998e-07
509.993,4.494384219555555e-07
520.02,4.780255492444447e-07
529.963,5.060971449999999e-07
539.98,5.242741885999999e-07
549.992,5.396584515222222e-07
559.998,5.480826674333331e-07
570.0,5.744385347777781e-07
579.995,5.816989183555554e-07
589.986,5.919108777333333e-07
599.97,6.019062847111112e-07
610.028,5.958243236888887e-07
620.001,5.756388303333332e-07
629.968,5.623289177222224e-07
640.008,5.584539418666669e-07
649.963,5.516194729666665e-07
659.991,5.291903929777775e-07
670.012,4.918568589666664e-07
680.026,4.447470881666668e-07
690.032,4.3981491645555556e-07
700.032,3.9952976568888885e-07
710.026,3.319413092111111e-07
720.012,2.455522706444446e-07
729.991,1.5972607794444446e-07
739.964,9.006293238555559e-08
750.007,4.30798297577778e-08
