Wavelength (nm),Power (W)
349.973,1.1371893293499998e-07
359.99,1.3789324553999999e-07
370.003,1.74076740284e-07
380.013,2.385215151529999e-07
390.019,3.198225321699998e-07
400.022,4.0595433711999975e-07
410.021,4.9806714728e-07
420.016,5.928548890899999e-07
430.007,6.3155627913e-07
439.994,7.309525926399995e-07
449.977,8.299287555200004e-07
460.035,9.231528744599998e-07
470.01,1.0059586460800005e-06
479.98,1.1053416276399998e-06
490.025,1.1813699390799997e-06
499.985,1.2637855268500002e-06
510.021,1.3239092806300002e-06
519.972,1.3830769865499996e-06
529.998,1.4341575268399992e-06
540.019,1.450988190199999e-06
550.034,1.4674910528700001e-06
559.965,1.5284440007699987e-06
569.97,1.5500693587900007e-06
579.97,1.5600829965300004e-06
589.964,1.5831560227899997e-06
600.032,1.5722566564700007e-06
610.014,1.5157978742800002e-06
619.991,1.461811738160001e-06
629.962,1.4306639189799994e-06
640.006,1.4029025362200003e-06
649.964,1.35543445481e-06
659.996,1.2762439791300006e-06
670.021,1.1973272614600004e-06
680.039,1.1263760213899999e-06
690.015,1.21061963737e-06
700.014,1.2469244524499996e-06
710.006,1.2598875866299997e-06
719.99,1.2529569960200003e-06
729.968,1.2330679579200004e-06
740.018,1.2052448165200002e-06
749.981,1.1744418736600001e-06
