Wavelength (nm),Power (W)
350.005,1.1072669480000009e-07
360.018,1.28738042338e-07
370.028,1.5449425249000003e-07
380.034,1.859780079240001e-07
390.036,2.4908970761e-07
400.035,3.2469640415e-07
410.031,4.052080224300002e-07
420.022,4.910762653600002e-07
430.009,5.383567095800001e-07
439.993,6.2037658839e-07
449.972,7.228738047899999e-07
460.026,8.193620831499997e-07
469.997,9.015793366900005e-07
479.963,9.936306301500003e-07
490.005,1.07601634799e-06
499.962,1.1547735294699997e-06
509.993,1.22685908366e-06
520.02,1.2815047409900006e-06
529.963,1.34277025727e-06
539.98,1.3775274584299993e-06
549.992,1.4090058709600003e-06
559.998,1.4233686312099998e-06
570.0,1.4777363509800004e-06
579.995,1.4894737052299992e-06
589.986,1.5047841800199997e-06
599.97,1.5118128488199996e-06
610.028,1.4836357485000003e-06
620.001,1.42922066976e-06
629.968,1.3912031869800002e-06
640.008,1.3743291458399997e-06
649.963,1.3539256917600005e-06
659.991,1.30250798749e-06
670.012,1.2375137401799995e-06
680.026,1.16837252412e-06
690.032,1.2583425803199995e-06
700.032,1.3056907198600003e-06
710.026,1.3311569648199995e-06
720.012,1.33226003072e-06
729.991,1.3149400957100003e-06
739.964,1.290656924219999e-06
750.007,1.2522905740199999e-06
