Wavelength (nm),Power (W)
349.99,7.273964950100002e-08
359.996,8.617596154900004e-08
369.998,1.0297186137000001e-07
379.997,1.3139496829200003e-07
389.992,1.80112532411e-07
399.984,2.3261829695100003e-07
409.971,2.9444427710000006e-07
420.035,3.547013122399996e-07
430.015,3.836770768000001e-07
439.991,4.468834137099998e-07
449.963,5.193246866599998e-07
460.01,5.919187847499996e-07
469.973,6.549194351700002e-07
480.012,7.260265258299994e-07
489.966,7.911668902200003e-07
499.995,8.5253656861e-07
510.02,9.058165099499994e-07
520.039,9.487444617500001e-07
529.974,9.966694130700003e-07
539.984,1.0220260361600006e-06
549.988,1.0439563877499998e-06
559.987,1.0840521988800007e-06
569.981,1.0884774775900003e-06
579.969,1.0908813604500002e-06
590.031,1.0966828741700005e-06
600.008,1.0926364629899999e-06
609.979,1.0602704887499997e-06
620.024,1.0092215228400004e-06
629.983,9.828702357699994e-07
640.016,9.5851749578e-07
649.963,9.312522110200003e-07
659.983,8.807630163999994e-07
669.997,8.2839142461e-07
680.004,7.8269744794e-07
689.986,9.417729578099996e-07
699.982,9.564067895000002e-07
709.971,9.5394155887e-07
720.031,9.377922694599999e-07
730.006,9.110767456400002e-07
739.974,8.836350482599994e-07
750.014,8.521510536900001e-07
