Wavelength (nm),Power (W)
350.005,1.1089673122999999e-07
360.018,1.23401158378e-07
370.028,1.5908386643600009e-07
380.034,1.9480950825000005e-07
390.036,2.5954361635999996e-07
400.035,3.3590129683999985e-07
410.031,4.171611089999999e-07
420.022,5.067806955699995e-07
430.009,5.409444586100003e-07
439.993,6.208616948700002e-07
449.972,7.23850888260001e-07
460.026,8.221080181299997e-07
469.997,9.047292848799994e-07
479.963,9.980691951699997e-07
490.005,1.0851172111600006e-06
499.962,1.1609119263600003e-06
509.993,1.2402589328599997e-06
520.02,1.2923285596499998e-06
529.963,1.3496963715200008e-06
539.98,1.3788156144200012e-06
549.992,1.4122713726300002e-06
559.998,1.4277103025400007e-06
570.0,1.481023034550001e-06
579.995,1.4962799826600002e-06
589.986,1.5111745426400005e-06
599.97,1.5230955915000002e-06
610.028,1.4940291373000004e-06
620.001,1.4359684894099998e-06
629.968,1.39725368456e-06
640.008,1.37937362576e-06
649.963,1.35583884628e-06
659.991,1.3095077570799997e-06
670.012,1.2425488449600004e-06
680.026,1.1747557513799996e-06
690.032,1.2581423897500005e-06
700.032,1.3058020624900002e-06
710.026,1.3326310277400001e-06
720.012,1.3336698635000005e-06
729.991,1.31990914725e-06
739.964,1.2938707731599996e-06
750.007,1.2592897269600002e-06
