Wavelength (nm),Current (A)
350.005,1.7010135782222225e-09
360.018,2.5443482105555567e-09
370.028,3.5889997151111106e-09
380.034,5.58070600288889e-09
390.036,9.755588102111113e-09
400.035,1.528182313888888e-08
410.031,2.1710849054444442e-08
420.022,2.9776650442222217e-08
430.009,3.670944483111111e-08
439.993,4.6763278190000014e-08
449.972,5.894641268666667e-08
460.026,7.136936393888891e-08
469.997,8.276517895444441e-08
479.963,9.598438601777778e-08
490.005,1.0920701723444439e-07
499.962,1.2195098872222223e-07
509.993,1.3450764848888888e-07
520.02,1.453569388555554e-07
529.963,1.5648444069999996e-07
539.98,1.6547176494444452e-07
549.992,1.743287040888889e-07
559.998,1.8121076663333333e-07
570.0,1.9361662514444455e-07
579.995,1.9936171048888882e-07
589.986,2.066688907555555e-07
599.97,2.1354055038888887e-07
610.028,2.1484166103333326e-07
620.001,2.1137310964444442e-07
629.968,2.0927253702222213e-07
640.008,2.102599629444445e-07
649.963,2.0937690601111102e-07
659.991,2.028708543777778e-07
670.012,1.9170406975555553e-07
680.026,1.8001191480000003e-07
690.032,1.9103494641111102e-07
700.032,1.9688559057777777e-07
710.026,1.9707619271111112e-07
720.012,1.9077041926666672e-07
729.991,1.792344642777778e-07
739.964,1.641604754888888e-07
750.007,1.4507238424444442e-07
