Wavelength (nm),Current (A)
349.989,5.873909190000002e-09
359.994,1.0988595497222223e-08
369.997,1.7044029197777776e-08
379.995,2.817045924666666e-08
389.991,4.769570218777778e-08
399.982,7.176053584333337e-08
409.97,1.0024433846222223e-07
420.034,1.337310596666667e-07
430.014,1.5596129201111106e-07
439.989,1.9208471753333334e-07
449.961,2.376719848777778e-07
460.008,2.8227662829999997e-07
469.972,3.214646169555556e-07
480.01,3.6922794930000007e-07
489.964,4.1163102039999975e-07
499.993,4.512159951444444e-07
510.018,4.864607953777776e-07
520.037,5.17997155211111e-07
529.972,5.467904546222222e-07
539.982,5.624437078111112e-07
549.986,5.770196193777775e-07
559.985,6.097552575e-07
569.979,6.149720101222221e-07
579.967,6.25332055088889e-07
590.029,6.420951912111111e-07
600.006,6.51056039511111e-07
609.977,6.372398810999999e-07
620.021,6.117754962888888e-07
629.981,5.936131826777779e-07
640.013,5.81200611311111e-07
650.039,5.623935598444445e-07
659.98,5.232065312222222e-07
669.994,4.292773874111112e-07
680.001,2.7067893186666667e-07
689.983,1.6005046028888883e-07
699.979,8.975065576777776e-08
709.968,5.375028869666665e-08
720.029,3.4690860049999995e-08
730.004,2.3128459926666665e-08
739.972,1.4923500634444447e-08
750.011,8.963510189555555e-09
