Wavelength (nm),Current (A)
349.973,5.3962322972222196e-09
359.99,1.0149059902555553e-08
370.003,1.605131027777777e-08
380.013,2.5953823024444456e-08
390.019,4.3772910208888895e-08
400.022,6.770735310555555e-08
410.021,9.666997480555551e-08
420.016,1.325106315e-07
430.007,1.5857410514444438e-07
439.994,1.947492893333333e-07
449.977,2.4109435584444443e-07
460.035,2.8850738706666666e-07
470.01,3.337760104111111e-07
479.98,3.819610476222223e-07
490.025,4.3003084873333317e-07
499.985,4.723360336555553e-07
510.021,5.128285365666665e-07
519.972,5.435409164333332e-07
529.998,5.746839422333332e-07
540.019,5.960579008111112e-07
550.034,6.064306947555557e-07
559.965,6.244508255222219e-07
569.97,6.491777621444444e-07
579.97,6.56835693311111e-07
589.964,6.671859873555556e-07
600.032,6.835019158444442e-07
610.014,6.851321304888891e-07
619.991,6.72993939166667e-07
629.962,6.637236547e-07
640.006,6.616696394666664e-07
649.964,6.558927981111111e-07
659.996,6.309306547666665e-07
670.021,5.801974253999998e-07
680.039,4.2077058101111134e-07
690.015,2.0250527880000004e-07
700.014,7.830244416444445e-08
710.006,3.3133445228888905e-08
719.99,1.661967477e-08
729.968,9.49259874988889e-09
740.018,5.738644709888889e-09
749.981,3.519034827666667e-09
