Wavelength (nm),Current (A)
349.989,4.229682694333334e-09
359.994,7.549071558777777e-09
369.997,1.186005494e-08
379.995,2.0165677698888886e-08
389.991,3.537361592888889e-08
399.982,5.4229071184444457e-08
409.97,7.707532274555559e-08
420.034,1.0364979758444443e-07
430.014,1.233966854111111e-07
439.989,1.5334891037777775e-07
449.961,1.8862129181111116e-07
460.008,2.2697676417777782e-07
469.972,2.6024109732222225e-07
480.01,2.97099588411111e-07
489.964,3.3004518982222217e-07
499.993,3.637958089222223e-07
510.018,3.917847890000001e-07
520.037,4.1600622414444426e-07
529.972,4.39610334711111e-07
539.982,4.5316225370000013e-07
549.986,4.6932924422222216e-07
559.985,4.954785055444443e-07
569.979,5.014269802444443e-07
579.967,5.074158313111109e-07
590.029,5.148808717444443e-07
600.006,5.150083218333331e-07
609.977,5.010687388222219e-07
620.021,4.788217231999998e-07
629.981,4.696267736888889e-07
640.013,4.6870713607777785e-07
650.039,4.610508584555557e-07
659.98,4.378747526555555e-07
669.994,4.059176068666667e-07
680.001,3.707980065555555e-07
689.983,4.1812977552222226e-07
699.979,4.096246759000002e-07
709.968,3.917151419222221e-07
720.029,3.63845712811111e-07
730.004,3.265405683888888e-07
739.972,2.816546386666665e-07
750.011,2.2624857185555548e-07
