Wavelength (nm),Current (A)
349.989,5.6674192954444434e-09
359.994,1.0611740378777776e-08
369.997,1.6396599733333335e-08
379.995,2.728326878111111e-08
389.991,4.659402202999999e-08
399.982,6.977063094666664e-08
409.97,9.620380356666665e-08
420.034,1.2739906627777777e-07
430.014,1.4933294502222224e-07
439.989,1.840101540111112e-07
449.961,2.2494616321111107e-07
460.008,2.6647948735555567e-07
469.972,3.0273110865555533e-07
480.01,3.4571940685555565e-07
489.964,3.8362454943333324e-07
499.993,4.199142211888889e-07
510.018,4.5107110074444434e-07
520.037,4.783491452555556e-07
529.972,5.057007503333334e-07
539.982,5.233357752333334e-07
549.986,5.351012245444443e-07
559.985,5.634447108555554e-07
569.979,5.645341803888887e-07
579.967,5.456266514777777e-07
590.029,5.610003259222219e-07
600.006,5.689694886777778e-07
609.977,5.574579175000004e-07
620.021,5.370578352666666e-07
629.981,5.233356840999998e-07
640.013,5.191538307111112e-07
650.039,5.086758798777777e-07
659.98,4.841470988333332e-07
669.994,4.458921395111111e-07
680.001,4.0357849912222206e-07
689.983,4.513072750111113e-07
699.979,4.366209533000001e-07
709.968,4.150098900222223e-07
720.029,3.8119691439999995e-07
730.004,3.3592949304444433e-07
739.972,2.7808181728888883e-07
750.011,2.0891075261111112e-07
