Wavelength (nm),Current (A)
349.989,6.0304694732222255e-09
359.994,1.1481884727777778e-08
369.997,1.736789161555555e-08
379.995,2.838614285444445e-08
389.991,4.772001790222221e-08
399.982,7.157589940444441e-08
409.97,1.0107943277555552e-07
420.034,1.3626919733333331e-07
430.014,1.6143723367777775e-07
439.989,1.980095625888889e-07
449.961,2.4370550524444434e-07
460.008,2.9110238919999993e-07
469.972,3.333231836444444e-07
480.01,3.838912478555557e-07
489.964,4.2977873399999993e-07
499.993,4.742681327888888e-07
510.018,5.151703468888889e-07
520.037,5.49062010911111e-07
529.972,5.791858545111112e-07
539.982,5.990246687222223e-07
549.986,6.181935585222222e-07
559.985,6.51080631633333e-07
569.979,6.618262725333334e-07
579.967,6.704266738555557e-07
590.029,6.851862123111109e-07
600.006,6.910432047222222e-07
609.977,6.766167740555556e-07
620.021,6.542801221111107e-07
629.981,6.445225005000001e-07
640.013,6.411713647888887e-07
650.039,6.322594811888889e-07
659.98,6.090813848444444e-07
669.994,5.581037663666666e-07
680.001,4.53322626711111e-07
689.983,3.3030277457777795e-07
699.979,1.541563639e-07
709.968,5.554497365888889e-08
720.029,1.771820554222221e-08
730.004,6.366849954333333e-09
739.972,3.0691798413333325e-09
750.011,2.0550721263333327e-09
