Wavelength (nm),Current (A)
349.99,2.671957714777777e-09
359.996,4.46517715711111e-09
369.998,6.594704719555555e-09
379.997,1.0886919004888891e-08
389.992,1.9195821492222216e-08
399.984,2.8950275819999993e-08
409.971,4.095961233666665e-08
420.035,5.602348806111111e-08
430.015,6.790975200666664e-08
439.991,8.550681042555552e-08
449.963,1.0671053039888887e-07
460.01,1.3044163026666665e-07
469.973,1.4950234683333335e-07
480.012,1.7231060802222222e-07
489.966,1.9397805254444437e-07
499.995,2.1226119504444434e-07
510.02,2.3072059948888885e-07
520.039,2.4658748384444454e-07
529.974,2.6044351756666654e-07
539.984,2.690369679666667e-07
549.988,2.788441668444444e-07
559.987,2.924811961555554e-07
569.981,2.9789014791111097e-07
579.969,3.011537302444444e-07
590.031,3.0468566253333334e-07
600.008,3.0611376037777777e-07
609.979,2.9826773987777764e-07
620.024,2.858278835333333e-07
629.983,2.764084614888889e-07
640.016,2.724311862666666e-07
649.963,2.578257689999999e-07
659.983,2.393241471333333e-07
669.997,2.164242438000001e-07
680.004,1.9452821807777774e-07
689.986,2.246206322666666e-07
699.982,2.2159054094444442e-07
709.971,2.1440694513333332e-07
720.031,2.015468566666667e-07
730.006,1.814337170222222e-07
739.974,1.5521529608888882e-07
750.014,1.225547202111111e-07
