Wavelength (nm),Current (A)
349.973,7.686905507555551e-09
359.99,1.2681550796666669e-08
370.003,1.9692707213333327e-08
380.013,3.381898344555557e-08
390.019,5.476177898333333e-08
400.022,8.010993932333328e-08
410.021,1.1083676716555557e-07
420.016,1.4552020711111098e-07
430.007,1.6801650077777776e-07
439.994,2.0966937697777781e-07
449.977,2.532240641888889e-07
460.035,2.965181681333333e-07
470.01,3.361395350333333e-07
479.98,3.816241876222223e-07
490.025,4.198518570111113e-07
499.985,4.5797941525555537e-07
510.021,4.884610615888887e-07
519.972,5.170016807666668e-07
529.998,5.418864011999999e-07
540.019,5.539540973999998e-07
550.034,5.63044396011111e-07
559.965,5.888316646888886e-07
569.97,6.016757340333332e-07
579.97,6.092520533444442e-07
589.964,6.225978161888887e-07
600.032,6.231733094e-07
610.014,6.049165343666664e-07
619.991,5.855041360888887e-07
629.962,5.76826485522222e-07
640.006,5.721515416888889e-07
649.964,5.570475366777775e-07
659.996,5.284379609333334e-07
670.021,4.932066058888891e-07
680.039,4.555691077888889e-07
690.015,4.696641735999998e-07
700.014,4.463585318111111e-07
710.006,3.93498663077778e-07
719.99,3.1611270686666655e-07
729.968,2.2686000976666674e-07
740.018,1.4155545601111107e-07
749.981,7.499007821888892e-08
