Wavelength (nm),Power (W)
349.973,1.4508335226900007e-06
359.99,1.4640575756399987e-06
370.003,1.47097857513e-06
380.013,1.4421504199099999e-06
390.019,1.4200309794800002e-06
400.022,1.4244522674599993e-06
410.021,1.4528476043400005e-06
420.016,1.4928499791599993e-06
430.007,1.4988239570799999e-06
439.994,1.5545644993000004e-06
449.977,1.6099975113000002e-06
460.035,1.65729295245e-06
470.01,1.6975147559600001e-06
479.98,1.6707227154600004e-06
490.025,1.7286337634500003e-06
499.985,1.8241200404900006e-06
510.021,1.85979316229e-06
519.972,1.8864183781700002e-06
529.998,1.9066763809799989e-06
540.019,1.9018062268100003e-06
550.034,1.8994945671500005e-06
559.965,1.9305657353199994e-06
569.97,1.9328099278200012e-06
579.97,1.9247601283e-06
589.964,1.9250574206899995e-06
600.032,1.9021748548500001e-06
610.014,1.8509108708300004e-06
619.991,1.7967696129999995e-06
629.962,1.7572182735100023e-06
640.006,1.723580120959999e-06
649.964,1.6754778943499999e-06
659.996,1.6065478416500002e-06
670.021,1.5307266989399996e-06
680.039,1.46561433273e-06
690.015,1.5231312471599993e-06
700.014,1.5390778890499995e-06
710.006,1.5399400285399998e-06
719.99,1.5265014610099995e-06
729.968,1.5020175145699996e-06
740.018,1.4729683044499985e-06
749.981,1.4384978106799997e-06
