Wavelength (nm),Power (W)
350.005,8.551819210400002e-08
360.018,1.1078585623000003e-07
370.028,1.3193370154399994e-07
380.034,1.679809071230001e-07
390.036,2.3400399824399997e-07
400.035,3.1053321668000004e-07
410.031,3.9152922313000023e-07
420.022,4.7784408888e-07
430.009,5.244263603299999e-07
439.993,6.0589051169e-07
449.972,7.0639583301e-07
460.026,8.025763148500001e-07
469.997,8.801490815400001e-07
479.963,9.7130869252e-07
490.005,1.0519307483200003e-06
499.962,1.1340652429100007e-06
509.993,1.20397062349e-06
520.02,1.26224847e-06
529.963,1.3245619782299988e-06
539.98,1.3635876598899995e-06
549.992,1.3925721946900004e-06
559.998,1.4083523722700002e-06
570.0,1.4675738639999996e-06
579.995,1.4817985306200005e-06
589.986,1.4954825662399991e-06
599.97,1.5033282750200002e-06
610.028,1.4780921947899996e-06
620.001,1.4237249433599994e-06
629.968,1.3844550022799997e-06
640.008,1.3703023563899993e-06
649.963,1.34618774387e-06
659.991,1.29395991505e-06
670.012,1.2253448261900002e-06
680.026,1.1561242638600002e-06
690.032,1.25577068798e-06
700.032,1.3035245649599999e-06
710.026,1.3272611464999994e-06
720.012,1.3264304663900001e-06
729.991,1.3045777318900006e-06
739.964,1.2653726451700001e-06
750.007,1.2350374493599996e-06
