Wavelength (nm),Current (A)
349.99,2.454224210999999e-09
359.996,3.898405555666667e-09
369.998,5.590311730444447e-09
379.997,8.85072682722222e-09
389.992,1.4847820245555558e-08
399.984,2.2260566314444442e-08
409.971,3.0989564201111114e-08
420.035,4.156538132888887e-08
430.015,4.937598689777778e-08
439.991,6.187985448000001e-08
449.963,7.641353813333334e-08
460.01,9.139207582555551e-08
469.973,1.0456804137777773e-07
480.012,1.1953909408888885e-07
489.966,1.3298945132222223e-07
499.995,1.458938166333333e-07
510.02,1.5740305849999992e-07
520.039,1.6746139097777786e-07
529.974,1.768181804e-07
539.984,1.8341674323333328e-07
549.988,1.907184852666666e-07
559.987,2.0216100322222218e-07
569.981,2.071439986444445e-07
579.969,2.1150456462222216e-07
590.031,2.174097643666666e-07
600.008,2.2028508322222216e-07
609.979,2.1640132154444444e-07
620.024,2.091127303333333e-07
629.983,2.0475873216666667e-07
640.016,2.027811920333332e-07
649.963,1.9847270866666668e-07
659.983,1.8917324203333337e-07
669.997,1.767986348333333e-07
680.004,1.646398356111111e-07
689.986,1.8689120196666665e-07
699.982,1.8575942118888888e-07
709.971,1.7912427187777777e-07
720.031,1.6651867846666662e-07
730.006,1.4857454999999997e-07
739.974,1.248490981888888e-07
750.014,9.474282987888891e-08
