Wavelength (nm),Current (A)
349.989,2.997248057777777e-09
359.994,5.139976672444441e-09
369.997,7.772295146777773e-09
379.995,1.2972372156666658e-08
389.991,2.2645431089999997e-08
399.982,3.496276889555556e-08
409.97,4.982781633111109e-08
420.034,6.717582174111111e-08
430.014,7.935209990888887e-08
439.989,9.898868694000001e-08
449.961,1.2191317816666667e-07
460.008,1.461018225444444e-07
469.972,1.6860027433333335e-07
480.01,1.9251603781111102e-07
489.964,2.143552951444445e-07
499.993,2.3652046254444433e-07
510.018,2.564481443666666e-07
520.037,2.739886750222222e-07
529.972,2.908400479888889e-07
539.982,3.036783451444444e-07
549.986,3.1304294792222226e-07
559.985,3.294654244666668e-07
569.979,3.3570342246666666e-07
579.967,3.444842577111112e-07
590.029,3.5069625021111104e-07
600.006,3.5173896229999995e-07
609.977,3.4302512594444446e-07
620.021,3.324541934111111e-07
629.981,3.251129012444445e-07
640.013,3.2109094781111093e-07
650.039,3.1376600263333335e-07
659.98,2.9863913295555556e-07
669.994,2.8184378172222226e-07
680.001,2.607178566333333e-07
689.983,3.1121630584444436e-07
699.979,3.0970245359999974e-07
709.968,3.00682041888889e-07
720.029,2.7813299437777783e-07
730.004,2.447156047666667e-07
739.972,2.0079708070000004e-07
750.011,1.5072550533333325e-07
