Wavelength (nm),Current (A)
349.987,3.0089393081111105e-09
359.993,5.041358833222222e-09
369.995,7.495642465000003e-09
379.994,1.224884625666666e-08
389.989,2.074724249888889e-08
399.981,3.142933499111111e-08
409.968,4.3675682388888885e-08
420.032,5.8137447776666664e-08
430.012,6.846352472444443e-08
439.988,8.511614647555556e-08
450.039,1.0544693868333334e-07
460.007,1.258478857333333e-07
469.97,1.4407762535555554e-07
480.008,1.6529397712222222e-07
489.962,1.8393413975555568e-07
499.991,2.0188100372222224e-07
510.016,2.181586263666667e-07
520.035,2.3199576187777777e-07
529.97,2.4517093630000004e-07
539.979,2.535216548222222e-07
549.984,2.614608806333332e-07
559.983,2.7433921867777774e-07
569.976,2.7836420211111125e-07
579.965,2.8115093704444446e-07
590.026,2.863592585111112e-07
600.003,2.883183391555557e-07
609.975,2.815090918444445e-07
620.019,2.7207511135555556e-07
629.978,2.671352574222222e-07
640.011,2.660913983666667e-07
650.037,2.6260957154444443e-07
659.978,2.503992327e-07
669.991,2.3579627512222214e-07
679.998,2.2207402663333328e-07
689.98,2.707748309444443e-07
699.976,2.747136486333333e-07
709.965,2.7040406125555566e-07
720.026,2.551101935888888e-07
730.001,2.3023133538888883e-07
739.969,1.9607176128888886e-07
750.008,1.5182248480000002e-07
