Wavelength (nm),Current (A)
349.973,7.884688595111112e-09
359.99,1.2822613426666663e-08
370.003,1.991651936666668e-08
380.013,3.425929534555556e-08
390.019,5.5426089345555576e-08
400.022,8.046763288333333e-08
410.021,1.100320045311111e-07
420.016,1.4364215036666664e-07
430.007,1.6431734039999997e-07
439.994,2.0308407898888888e-07
449.977,2.471651659555555e-07
460.035,2.882771753777776e-07
470.01,3.2617153115555544e-07
479.98,3.683664295444444e-07
490.025,4.035723948000001e-07
499.985,4.3851201297777774e-07
510.021,4.662727270666667e-07
519.972,4.933021560777776e-07
529.998,5.156400563111109e-07
540.019,5.290228064777778e-07
550.034,5.384768756000001e-07
559.965,5.649180178777777e-07
569.97,5.785695090888887e-07
579.97,5.862538501111108e-07
589.964,5.996219147333331e-07
600.032,6.016402604777776e-07
610.014,5.85914787188889e-07
619.991,5.683971632444444e-07
629.962,5.605243978777778e-07
640.006,5.558484262222222e-07
649.964,5.416330474777775e-07
659.996,5.13756983011111e-07
670.021,4.802106592222223e-07
680.039,4.4384655368888876e-07
690.015,4.6084197943333324e-07
700.014,4.5777716795555566e-07
710.006,4.453089946444445e-07
719.99,4.2245095942222217e-07
729.968,3.845717610000001e-07
740.018,3.306059453e-07
749.981,2.587223902666666e-07
