Wavelength (nm),Current (A)
350.005,2.392232414444445e-09
360.018,3.783817223333334e-09
370.028,5.435367023e-09
380.034,8.591685421666665e-09
390.036,1.520190410555555e-08
400.035,2.396352776888888e-08
410.031,3.4882705917777765e-08
420.022,4.9082249875555523e-08
430.009,6.11599048111111e-08
439.993,7.85156510333333e-08
449.972,1.0041440686666669e-07
460.026,1.227725857333333e-07
469.997,1.4287836381111114e-07
479.963,1.655333635222223e-07
490.005,1.8692770127777767e-07
499.962,2.066035446222222e-07
509.993,2.2541795811111102e-07
520.02,2.408801902333333e-07
529.963,2.563767064666666e-07
539.98,2.6771501505555545e-07
549.992,2.782819662555556e-07
559.998,2.8607873806666653e-07
570.0,3.033908655999999e-07
579.995,3.113486183555554e-07
589.986,3.210309282777777e-07
599.97,3.2942885524444437e-07
610.028,3.293066644111111e-07
620.001,3.220563435444445e-07
629.968,3.1711529861111115e-07
640.008,3.1701750379999997e-07
649.963,3.1476535501111105e-07
659.991,3.041944437555556e-07
670.012,2.875188140333334e-07
680.026,2.702642448555556e-07
690.032,2.851469237777776e-07
700.032,2.9634130415555536e-07
710.026,2.98850123622222e-07
720.012,2.9099337866666666e-07
729.991,2.7321615826666666e-07
739.964,2.4629616886666664e-07
750.007,2.0762931675555555e-07
