Wavelength (nm),Current (A)
350.005,4.110532227666666e-09
360.018,6.927092926888888e-09
370.028,1.0234103072999993e-08
380.034,1.6553708588888887e-08
390.036,2.984000859555555e-08
400.035,4.7403417804444437e-08
410.031,6.921758228999999e-08
420.022,9.614371168222217e-08
430.009,1.164894686333333e-07
439.993,1.460252059555555e-07
449.972,1.8356617274444445e-07
460.026,2.2277430694444441e-07
469.997,2.5691818386666667e-07
479.963,2.9515670984444434e-07
490.005,3.3124228978888904e-07
499.962,3.6269477521111114e-07
509.993,3.9175921802222236e-07
520.02,4.1650491336666647e-07
529.963,4.4016352518888884e-07
539.98,4.558672194888887e-07
549.992,4.716710890222221e-07
559.998,4.810212845111112e-07
570.0,5.055810159777778e-07
579.995,5.134630128222225e-07
589.986,5.234864303555557e-07
599.97,5.315489769333333e-07
610.028,5.272986056555555e-07
620.001,5.131902381888888e-07
629.968,5.064492956666665e-07
640.008,5.067587401777776e-07
649.963,5.03551049711111e-07
659.991,4.859663019999998e-07
670.012,4.530922243222223e-07
680.026,3.966377024666666e-07
690.032,3.624940538444444e-07
700.032,3.1602934042222225e-07
710.026,2.8366199121111106e-07
720.012,2.5534988188888883e-07
729.991,2.2352751778888883e-07
739.964,1.8506900995555556e-07
750.007,1.3932106372222216e-07
